Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
123,"YL Tian, X Yang, C Yi, A Arditi","Toward a computer vision-based wayfinding aid for blind persons to access unfamiliar indoor environments",2013,"Machine vision and applications","Springer","https://link.springer.com/article/10.1007/s00138-012-0431-7","https://scholar.google.com/scholar?cites=4022318884951281378&as_sdt=2005&sciodt=2007&hl=en",45,"2024-09-18 20:22:10","","10.1007/s00138-012-0431-7","","",,,,,123,11.18,31,4,11,"… Abstract Independent travel is a well-known challenge for blind and visually … For an indoor wayfinding device to assist blind or visually impaired persons, we not only need to recognize …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3636776/","https://scholar.google.com/scholar?q=related:4s7d9rYl0jcJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
34,"D Plikynas, A Žvironas, M Gudauskis…","Research advances of indoor navigation for blind people: A brief review of technological instrumentation",2020,"IEEE Instrumentation …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9126068/","https://scholar.google.com/scholar?cites=8723844949681206620&as_sdt=2005&sciodt=2007&hl=en",46,"2024-09-18 20:22:10","","","","",,,,,34,8.50,9,4,4,"… blind and visually impaired (VI) persons in the field of indoor … used to assist blind persons with indoor navigation using Wi-… artificial vision framework for assisting visually impaired users…","https://drive.google.com/file/d/10epu116wxIh9Uuuu0g4DvumhSEPOYajZ/view","https://scholar.google.com/scholar?q=related:XHVVxcJSEXkJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
125,"J Bai, S Lian, Z Liu, K Wang…","Virtual-blind-road following-based wearable navigation device for blind people",2018,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8307352/","https://scholar.google.com/scholar?cites=9359594703505500968&as_sdt=2005&sciodt=2007&hl=en",47,"2024-09-18 20:22:10","","","","",,,,,125,20.83,25,5,6,"… This paper presents a novel navigation device for the visually impaired groups to help them … radar based autonomous mobile robot guidance system for olive groves navigation,” IEEE …","https://arxiv.org/pdf/1904.13028","https://scholar.google.com/scholar?q=related:KKsSKMv144EJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
43,"V Nair, G Olmschenk, WH Seiple, Z Zhu","ASSIST: Evaluating the usability and performance of an indoor navigation assistant for blind and visually impaired people",2022,"Assistive Technology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10400435.2020.1809553","https://scholar.google.com/scholar?cites=9288644291670830389&as_sdt=2005&sciodt=2007&hl=en",48,"2024-09-18 20:22:10","","10.1080/10400435.2020.1809553","","",,,,,43,21.50,11,4,2,"… and testing of an indoor navigation app – ASSIST – that guides blind &visually impaired (BVI) … ASSIST features personalized interfaces by considering the unique experiences that BVI …","https://par.nsf.gov/servlets/purl/10286802","https://scholar.google.com/scholar?q=related:Ne3_GcXk54AJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
562,"I Ulrich, J Borenstein","The GuideCane-applying mobile robot technologies to assist the visually impaired",2001,"… on Systems, Man, and Cybernetics-Part …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/911370/","https://scholar.google.com/scholar?cites=14617208312096264357&as_sdt=2005&sciodt=2007&hl=en",49,"2024-09-18 20:22:10","","","","",,,,,562,24.43,281,2,23,"… “blind persons” will be used for severely visually impaired persons as well as for totally blind … Griffin-Shirley, “National evaluation of electronic travel aids for blind and visually impaired …","http://www.cs.unc.edu/~welch/class/mobility/papers/GuideCane.pdf","https://scholar.google.com/scholar?q=related:pZBiuoPB2soJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
50,"G Lacey, K Dawson-Howe","Evaluation of robot mobility aid for the elderly blind",1997,"… of the Fifth International Symposium on …","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f89da0351b5667a5fd4d47c2abbb81a32fa6978a","https://scholar.google.com/scholar?cites=5521994569936207466&as_sdt=2005&sciodt=2007&hl=en",50,"2024-09-18 20:22:10","PDF","","","",,,,,50,1.85,25,2,27,"… of mobile robot technology to the mobility of the frail blind. … tech alternative to guide dogs is not new 2] our robot design … Blind and visually impaired people experience both mobility …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f89da0351b5667a5fd4d47c2abbb81a32fa6978a","https://scholar.google.com/scholar?q=related:av6u-M0QokwJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
96,"A Brilhault, S Kammoun, O Gutierrez…","Fusion of artificial vision and GPS to improve blind pedestrian positioning",2011,"… , Mobility and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5721061/","https://scholar.google.com/scholar?cites=7782676559109803117&as_sdt=2005&sciodt=2007&hl=en",51,"2024-09-18 20:22:10","","","","",,,,,96,7.38,24,4,13,"… -GPS and embedded artificial vision positioning signals. The … Blind mobility and guidance; 2/ it matches the needs of Blind … designed for assisted navigation for the visually impaired, we …","https://www.academia.edu/download/30772648/SLCP_2011.pdf","https://scholar.google.com/scholar?q=related:bcx_mxifAWwJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
28,"B Kuriakose, R Shrestha, FE Sandnes","Smartphone navigation support for blind and visually impaired people-a comprehensive analysis of potentials and opportunities",2020,"International conference on human …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-49108-6_41","https://scholar.google.com/scholar?cites=15855786979282444942&as_sdt=2005&sciodt=2007&hl=en",52,"2024-09-18 20:22:10","","10.1007/978-3-030-49108-6_41","","",,,,,28,7.00,9,3,4,"… A remote human or machine assistant can guide the user using the … and thus guide to reach a destination during navigation [23]. … Deep learning-based object detection models can be …","https://oda.oslomet.no/oda-xmlui/bitstream/handle/10642/9841/Paper_2_HCI_LNCS.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:juJkBkASC9wJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
28,"TA Alhmiedat, A Abutaleb, G Samara","A prototype navigation system for guiding blind people indoors using NXT Mindstorms",2013,"International Journal of Online …","academia.edu","https://www.academia.edu/download/34639214/2848-10578-1-PB.pdf","https://scholar.google.com/scholar?cites=17861779971503019541&as_sdt=2005&sciodt=2007&hl=en",53,"2024-09-18 20:22:10","PDF","","","",,,,,28,2.55,9,3,11,"… A camera device is used to guide and navigate blind people by capturing … -guide robot (eyeDog) which provides the visually impaired person with autonomous vision-based navigation …","https://www.academia.edu/download/34639214/2848-10578-1-PB.pdf","https://scholar.google.com/scholar?q=related:FdafkT_K4fcJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
3,"J Lai, H Lei, S Bao, L Du, J Yuan…","Design of a portable indoor guide robot for blind people",2021,"2021 6th IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9536077/","https://scholar.google.com/scholar?cites=17487318165340032641&as_sdt=2005&sciodt=2007&hl=en",54,"2024-09-18 20:22:10","","","","",,,,,3,1.00,1,6,3,"… of robots to provide guidance for visually impaired persons, which can … low-cost and portable guide robot for the blind is proposed in this paper which is to better guide the blind to travel …","","https://scholar.google.com/scholar?q=related:gQ5UNzhvr_IJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
8,"N Kumar, S Sharma, IM Abraham…","Blind assistance system using machine learning",2022,"… on Image Processing and …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-12413-6_33","https://scholar.google.com/scholar?cites=16912398064365890630&as_sdt=2005&sciodt=2007&hl=en",55,"2024-09-18 20:22:10","","10.1007/978-3-031-12413-6_33","","",,,,,8,4.00,2,4,2,"… remote navigation assistance for visually impaired and blind … actuators to guide the visually impaired left and right [8]. … Our model is used to assist visually impaired people [13], and it …","https://hindustanuniv.ac.in/assets/naac/CA/1_3_4/2666_NAVEEN_KUMAR.pdf","https://scholar.google.com/scholar?q=related:RmyIDm_otOoJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
432,"A Helal, SE Moore…","Drishti: An integrated navigation system for visually impaired and disabled",2001,"… symposium on wearable …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/962119/","https://scholar.google.com/scholar?cites=5493251112103323485&as_sdt=2005&sciodt=2007&hl=en",56,"2024-09-18 20:22:10","","","","",,,,,432,18.78,144,3,23,"… of this paper is navigation aid for the blind and disabled. Our … traditional navigation aids like long canes and blind guide dogs … Attempts are also made to use computer vision techniques …","https://www.cise.ufl.edu/~helal/projects/publications/wearableConf.pdf","https://scholar.google.com/scholar?q=related:XSfwLsjyO0wJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
28,"Y Bouteraa","Design and development of a wearable assistive device integrating a fuzzy decision support system for blind and visually impaired people",2021,"Micromachines","mdpi.com","https://www.mdpi.com/2072-666X/12/9/1082","https://scholar.google.com/scholar?cites=12611094294058324788&as_sdt=2005&sciodt=2007&hl=en",57,"2024-09-18 20:22:10","HTML","","","",,,,,28,9.33,28,1,3,"… Most of today’s solutions use new technologies such as artificial intelligence and … to guide navigation for blind people [20]. Various recent navigation tools to help visually impaired …","https://www.mdpi.com/2072-666X/12/9/1082","https://scholar.google.com/scholar?q=related:NFNNqnGbA68J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
251,"A Aladren, G López-Nicolás, L Puig…","Navigation assistance for the visually impaired using RGB-D sensor with range expansion",2014,"IEEE Systems …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6819807/","https://scholar.google.com/scholar?cites=13839294549596928836&as_sdt=2005&sciodt=2007&hl=en",58,"2024-09-18 20:22:10","","","","",,,,,251,25.10,63,4,10,"… are able to assist or guide people with vision loss, ranging … million visually impaired people and 39 million were blind. In … is the joint research of computer vision and robotic techniques in …","https://www.researchgate.net/profile/Josechu-Guerrero/publication/273593040_Navigation_Assistance_for_the_Visually_Impaired_Using_RGB-D_Sensor_With_Range_Expansion/links/564c458908ae4ae893b8787f/Navigation-Assistance-for-the-Visually-Impaired-Using-RGB-D-Sensor-With-Range-Expansion.pdf","https://scholar.google.com/scholar?q=related:RHu5shEND8AJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
4,"S Varde, MS Panse","Computer vision based travel aid for blind",2015,"International Journal of Latest Technology in …","academia.edu","https://www.academia.edu/download/38622601/58-63.pdf","https://scholar.google.com/scholar?cites=14689447532215220608&as_sdt=2005&sciodt=2007&hl=en",59,"2024-09-18 20:22:10","PDF","","","",,,,,4,0.44,2,2,9,"… blind and visually impaired people. Figure 1 shows the similarity between mobile robot guidance system and ETA developed for blind. … Travel Aid system for blind and visually impaired …","https://www.academia.edu/download/38622601/58-63.pdf","https://scholar.google.com/scholar?q=related:gDlt2LNm28sJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
56,"J Bai, D Liu, G Su, Z Fu","A cloud and vision-based navigation system used for blind people",2017,"… of the 2017 international conference on artificial …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3080845.3080867","https://scholar.google.com/scholar?cites=9736934729413643107&as_sdt=2005&sciodt=2007&hl=en",60,"2024-09-18 20:22:10","","10.1145/3080845.3080867","","",,,,,56,8.00,14,4,7,"… there are 285 million visually impaired persons in the world in which 13.68% of them are … navigation system is designed not only to provide guidance for the blind, but also to let the blind …","","https://scholar.google.com/scholar?q=related:Y0vdQ4yKIIcJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
92,"A Wachaja, P Agarwal, M Zink, MR Adame, K Möller…","Navigating blind people with walking impairments using a smart walker",2017,"Autonomous …","Springer","https://link.springer.com/article/10.1007/s10514-016-9595-8","https://scholar.google.com/scholar?cites=17376267261117897074&as_sdt=2005&sciodt=2007&hl=en",61,"2024-09-18 20:22:10","","10.1007/s10514-016-9595-8","","",,,,,92,13.14,15,6,7,"… visually impaired or worked as mobility … robot guide for blind people in indoor environments. In Proceedings of the tenth annual ACM/IEEE international conference on human–robot …","http://ais.informatik.uni-freiburg.de/publications/papers/wachaja16ar.pdf","https://scholar.google.com/scholar?q=related:cpkutQLnJPEJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
11,"B Gamage, TT Do, NSC Price, A Lowery…","What do Blind and Low-Vision People Really Want from Assistive Smart Devices? Comparison of the Literature with a Focus Study",2023,"Proceedings of the 25th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3597638.3608955","https://scholar.google.com/scholar?cites=3774931616600461927&as_sdt=2005&sciodt=2007&hl=en",62,"2024-09-18 20:22:10","","10.1145/3597638.3608955","","",,,,,11,11.00,2,5,1,"… computer vision, can assist people who are blind or have low… ofer a person who is blind or visually impaired to act as normally … tool for indoor navigation for visually impaired people. In …","","https://scholar.google.com/scholar?q=related:Z5LcCk5AYzQJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
7,"ASM Yasin, MM Haque, SB Anwar…","Computer vision techniques for supporting blind or vision impaired people: An overview",2013,"International Journal of …","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=72b7f906529910a29fab978dc8dccf0522556115","https://scholar.google.com/scholar?cites=3202012451993153799&as_sdt=2005&sciodt=2007&hl=en",63,"2024-09-18 20:22:10","PDF","","","",,,,,7,0.64,2,4,11,"… Guidance Guiding blind and visually impaired wheelchair users along a clear path that uses computer vision … and easily wearable navigation aid for blind and visually impaired persons. …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=72b7f906529910a29fab978dc8dccf0522556115","https://scholar.google.com/scholar?q=related:B_FtL1zVbywJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
88,"SJ Kang, Y Ho, IH Moon","Development of an intelligent guide-stick for the blind",2001,"… on Robotics and Automation (Cat. No …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/933112/","https://scholar.google.com/scholar?cites=1565540235271526745&as_sdt=2005&sciodt=2007&hl=en",64,"2024-09-18 20:22:10","","","","",,,,,88,3.83,29,3,23,"… guidance systems for visually impaired travelers to navigate … were 46,000 blind persons in Korea, 1999. In general, the … a simple robot-type guidance system for the blind which traces …","","https://scholar.google.com/scholar?q=related:WdnwpIzquRUJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
0,"TS Almurayziq, N Alotibi, G Alshammari…","Smart and Guide Hat for Blind Persons in Smart Cities Using Deep Learning",2023,"Journal of Advances in …","jait.us","https://www.jait.us/uploadfile/2023/JAIT-V14N6-1214.pdf","",65,"2024-09-18 20:22:10","PDF","","","",,,,,0,0.00,0,4,1,"… study is to assist visually impaired (blind) individuals using AI technology. Blindness is a … to gain a better understanding of how blind individuals will be able to navigate smart cities. …","https://www.jait.us/uploadfile/2023/JAIT-V14N6-1214.pdf","https://scholar.google.com/scholar?q=related:MJ-ulFTdKmYJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
20,"JC Lock, G Cielniak, N Bellotto","A portable navigation system with an adaptive multimodal interface for the blind",2017,"2017 AAAI Spring Symposium Series","cdn.aaai.org","https://cdn.aaai.org/ocs/15311/15311-68255-1-PB.pdf","https://scholar.google.com/scholar?cites=4889981981527744200&as_sdt=2005&sciodt=2007&hl=en",66,"2024-09-18 20:22:10","PDF","","","",,,,,20,2.86,7,3,7,"… camera to guidance instructions for the blind person… visually impaired that exploits human-machine progressive co-adaptation to enhance the user’s experience and improve …","https://cdn.aaai.org/ocs/15311/15311-68255-1-PB.pdf","https://scholar.google.com/scholar?q=related:yJ4FN7S03EMJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
65,"EB Kaiser, M Lawo","Wearable navigation system for the visually impaired and blind people",2012,"2012 IEEE/ACIS 11th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6211819/","https://scholar.google.com/scholar?cites=4972621550745534353&as_sdt=2005&sciodt=2007&hl=en",67,"2024-09-18 20:22:10","","","","",,,,,65,5.42,33,2,12,"… guide the blind person from a starting point to destinations previously explored. The best way to provide orientation commands to the blind … location and orientation of the mobile robot. ݑ…‎","","https://scholar.google.com/scholar?q=related:kb-jTvRMAkUJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
14,"MFR Lee, FHS Chiu, C Zhuo","Novel design of a social mobile robot for the blind disabilities",2013,"Proceedings of the 2013 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6776710/","https://scholar.google.com/scholar?cites=11960492815184105015&as_sdt=2005&sciodt=2007&hl=en",68,"2024-09-18 20:22:10","","","","",,,,,14,1.27,5,3,11,"… few visually impaired have access to qualified guidance dogs… mobile robot system aimed for the service to the blind. The … for the travel of the blind group through the mobile robot. That …","","https://scholar.google.com/scholar?q=related:Nw6pk9g0_KUJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
28,"C Feng, S Azenkot, M Cakmak","Designing a robot guide for blind people in indoor environments",2015,"… Conference on Human-Robot …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2701973.2702060","https://scholar.google.com/scholar?cites=1807275163488134380&as_sdt=2005&sciodt=2007&hl=en",69,"2024-09-18 20:22:10","","10.1145/2701973.2702060","","",,,,,28,3.11,9,3,9,"… We propose a solution for indoor navigation involving multi-… a design for how robots can guide blind people to an indoor … with a range of vision abilities to design the robot interactions …","https://homes.cs.washington.edu/~mcakmak/pdfs/2015/feng2015hrilbr.pdf","https://scholar.google.com/scholar?q=related:7KQYky-7FBkJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
88,"L Dunai, GP Fajarnes, VS Praderas…","Real-time assistance prototype—A new navigation aid for blind people",2010,"IECON 2010-36th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5675535/","https://scholar.google.com/scholar?cites=8126316587884467890&as_sdt=2005&sciodt=2007&hl=en",70,"2024-09-18 20:22:10","","","","",,,,,88,6.29,22,4,14,"… traditional navigation systems such as white cane and guide … The first class is based on sensory or artificial vision systems. … and independent travel possible for vision impaired and print-…","https://www.researchgate.net/profile/Larisa-Dunai/publication/241177859_Real-Time_Assistance_Prototype_-_a_new_Navigation_Aid_for_blind_people/links/56e1596f08ae979addf2e246/Real-Time-Assistance-Prototype-a-new-Navigation-Aid-for-blind-people.pdf","https://scholar.google.com/scholar?q=related:stY3seF5xnAJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
0,"Z Zhu, V Nair, G Olmschenk, WH Seiple","ASSIST: Assistive Sensor Solutions for Independent and Safe Travel of Blind and Visually Impaired People",2021,"IJCAI AI for Social Good …","par.nsf.gov","https://par.nsf.gov/biblio/10286824","",71,"2024-09-18 20:22:10","","","","",,,,,0,0.00,0,4,3,"… and testing of an indoor navigation app - ASSIST - that guides blind &visually impaired (BVI) … ASSIST features personalized interfaces by considering the unique experiences that BVI …","https://par.nsf.gov/servlets/purl/10286824","https://scholar.google.com/scholar?q=related:Z2PDtAgZGD0J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
