IDCLIENTE;EVOLUCION_LCR;DIAS_MORA;COMPORT_INTERNO;ACTIVIDAD;EST_CIVIL;EDAD;RENTA;SEXO;TIPO_VIVIENDA;Salario_Anual;Monto_inicial;
486;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;33;14477;F;Arrienda; $1.534.562 ; $306.912 ;
487;Aumenta Cupo;18;Buen Cliente;Dependiente;Casado;44;1934;M;Arrienda; $96.700 ; $9.670 ;
488;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;57;2514;F;Arrienda; $266.484 ; $26.648 ;
489;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;37;13426;F;Propia; $1.423.156 ; $284.631 ;
490;Aumenta Cupo;12;Buen Cliente;Independiente;Casado;34;3020;M;Propia; $151.000 ; $30.200 ;
491;Aumenta Cupo;18;Buen Cliente;Dependiente;Casado;34;4365;M;Propia; $218.250 ; $21.825 ;
492;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;54;1759;M;Propia; $87.950 ; $8.795 ;
493;Disminuye Cupo;18;Mal Cliente;Independiente;Casado;48;5267;M;Propia; $263.350 ; $52.670 ;
494;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;53;3029;F;Propia; $321.074 ; $32.107 ;
495;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;36;2675;M;Propia; $133.750 ; $13.375 ;
496;Aumenta Cupo;22;Buen Cliente;Dependiente;Soltero;28;4603;F;Propia; $487.918 ; $48.792 ;
497;Aumenta Cupo;6;Buen Cliente;Dependiente;Casado;38;1141;F;Propia; $57.050 ; $5.705 ;
498;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;43;2912;M;Propia; $145.600 ; $14.560 ;
499;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;32;1732;F;Arrienda; $183.592 ; $36.718 ;
500;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;39;3419;F;Propia; $170.950 ; $17.095 ;
501;Aumenta Cupo;0;Buen Cliente;Independiente;Soltero;30;1147;F;Propia; $121.582 ; $24.316 ;
502;Aumenta Cupo;24;Buen Cliente;Independiente;Casado;47;5743;F;Propia; $287.150 ; $57.430 ;
503;Aumenta Cupo;6;Buen Cliente;Dependiente;Soltero;33;1506;M;Propia; $159.636 ; $15.964 ;
504;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;36;1724;M;Arrienda; $86.200 ; $8.620 ;
505;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;58;1673;M;Propia; $177.338 ; $17.734 ;
506;Aumenta Cupo;6;Buen Cliente;Dependiente;Soltero;29;1822;F;Propia; $193.132 ; $19.313 ;
507;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;31;1409;F;Arrienda; $149.354 ; $14.935 ;
508;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;29;1334;M;Propia; $66.700 ; $6.670 ;
509;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;35;1338;M;Propia; $66.900 ; $6.690 ;
510;Disminuye Cupo;6;Buen Cliente;Independiente;Casado;25;1169;M;Propia; $58.450 ; $11.690 ;
511;Aumenta Cupo;6;Buen Cliente;Independiente;Soltero;32;1159;F;Propia; $122.854 ; $24.571 ;
512;Aumenta Cupo;6;Buen Cliente;Dependiente;Casado;45;7300;F;Arrienda; $365.000 ; $36.500 ;
513;Mantiene Cupo;24;Buen Cliente;Independiente;Casado;52;2660;M;Arrienda; $133.000 ; $26.600 ;
514;Mantiene Cupo;30;Buen Cliente;Dependiente;Soltero;43;7935;F;Propia; $841.110 ; $84.111 ;
515;Aumenta Cupo;15;Buen Cliente;Independiente;Soltero;42;1892;F;Arrienda; $200.552 ; $40.110 ;
516;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;29;1247;M;Propia; $132.182 ; $13.218 ;
517;Mantiene Cupo;24;Buen Cliente;Independiente;Casado;42;1638;M;Propia; $81.900 ; $16.380 ;
518;Aumenta Cupo;36;Buen Cliente;Dependiente;Casado;46;3217;M;Propia; $160.850 ; $16.085 ;
519;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;36;3542;F;Arrienda; $177.100 ; $17.710 ;
520;Aumenta Cupo;36;Buen Cliente;Dependiente;Soltero;29;7211;F;Arrienda; $764.366 ; $76.437 ;
521;Aumenta Cupo;36;Buen Cliente;Dependiente;Casado;33;1781;F;Arrienda; $89.050 ; $8.905 ;
522;Aumenta Cupo;62;Buen Cliente;Dependiente;Casado;43;1252;F;Arrienda; $62.600 ; $6.260 ;
523;Aumenta Cupo;6;Buen Cliente;Dependiente;Soltero;22;9098;F;Arrienda; $964.388 ; $96.439 ;
524;Aumenta Cupo;18;Buen Cliente;Dependiente;Casado;38;2097;F;Arrienda; $104.850 ; $10.485 ;
525;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;37;8768;M;Propia; $929.408 ; $92.941 ;
526;Aumenta Cupo;36;Buen Cliente;Dependiente;Soltero;43;12448;F;Arrienda; $1.319.488 ; $131.949 ;
527;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;27;3212;F;Propia; $340.472 ; $34.047 ;
528;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;45;3836;F;Arrienda; $406.616 ; $40.662 ;
529;Aumenta Cupo;18;Buen Cliente;Dependiente;Soltero;38;2742;M;Propia; $290.652 ; $29.065 ;
530;Aumenta Cupo;18;Buen Cliente;Dependiente;Soltero;43;1426;F;Arrienda; $151.156 ; $15.116 ;
531;Aumenta Cupo;4;Buen Cliente;Dependiente;Casado;40;1200;M;Propia; $60.000 ; $6.000 ;
532;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;43;13029;M;Propia; $1.381.074 ; $138.107 ;
533;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;31;7961;F;Arrienda; $843.866 ; $84.387 ;
534;Disminuye Cupo;18;Buen Cliente;Dependiente;Soltero;30;6649;F;Propia; $704.794 ; $70.479 ;
535;Disminuye Cupo;18;Buen Cliente;Dependiente;Soltero;31;2753;F;Arrienda; $291.818 ; $29.182 ;
536;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;28;13130;F;Arrienda; $1.391.780 ; $139.178 ;
537;Aumenta Cupo;4;Buen Cliente;Independiente;Soltero;33;1499;F;Arrienda; $158.894 ; $31.779 ;
538;Aumenta Cupo;4;Buen Cliente;Independiente;Soltero;36;1291;M;Propia; $136.846 ; $27.369 ;
539;Aumenta Cupo;7;Buen Cliente;Dependiente;Soltero;30;2621;M;Propia; $277.826 ; $27.783 ;
540;Mantiene Cupo;18;Mal Cliente;Dependiente;Casado;37;2691;F;Arrienda; $134.550 ; $13.455 ;
541;Mantiene Cupo;9;Buen Cliente;Dependiente;Casado;28;1548;F;Arrienda; $77.400 ; $7.740 ;
542;Mantiene Cupo;52;Mal Cliente;Dependiente;Soltero;33;4208;M;Propia; $446.048 ; $44.605 ;
543;Mantiene Cupo;12;Buen Cliente;Dependiente;Casado;42;6637;M;Propia; $331.850 ; $33.185 ;
544;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;29;2407;F;Arrienda; $255.142 ; $25.514 ;
545;Aumenta Cupo;4;Buen Cliente;Dependiente;Casado;33;8032;M;Propia; $401.600 ; $40.160 ;
546;Mantiene Cupo;8;Buen Cliente;Independiente;Soltero;29;2386;F;Propia; $252.916 ; $50.583 ;
547;Mantiene Cupo;30;Buen Cliente;Dependiente;Soltero;38;4389;F;Arrienda; $465.234 ; $46.523 ;
548;Mantiene Cupo;10;Buen Cliente;Dependiente;Casado;31;3663;M;Propia; $183.150 ; $18.315 ;
549;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;32;2787;F;Propia; $295.422 ; $59.084 ;
550;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;38;1874;F;Arrienda; $198.644 ; $19.864 ;
551;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;40;1604;M;Propia; $170.024 ; $34.005 ;
552;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;55;1826;M;Propia; $91.300 ; $9.130 ;
553;Aumenta Cupo;12;Buen Cliente;Independiente;Soltero;35;2171;F;Propia; $230.126 ; $46.025 ;
554;Aumenta Cupo;10;Buen Cliente;Dependiente;Soltero;37;1310;F;Arrienda; $138.860 ; $13.886 ;
555;Mantiene Cupo;11;Buen Cliente;Dependiente;Soltero;29;4318;F;Arrienda; $457.708 ; $45.771 ;
556;Aumenta Cupo;33;Mal Cliente;Independiente;Casado;34;1446;F;Arrienda; $72.300 ; $14.460 ;
557;Mantiene Cupo;5;Mal Cliente;Independiente;Casado;40;1478;F;Arrienda; $73.900 ; $14.780 ;
558;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;29;1689;F;Arrienda; $179.034 ; $17.903 ;
559;Aumenta Cupo;0;Buen Cliente;Dependiente;Soltero;29;1924;F;Arrienda; $203.944 ; $20.394 ;
560;Mantiene Cupo;14;Buen Cliente;Independiente;Soltero;37;1090;F;Propia; $115.540 ; $23.108 ;
561;Aumenta Cupo;20;Buen Cliente;Independiente;Casado;29;4369;M;Arrienda; $218.450 ; $43.690 ;
562;Aumenta Cupo;18;Buen Cliente;Dependiente;Casado;28;2105;M;Propia; $105.250 ; $10.525 ;
563;Mantiene Cupo;46;Buen Cliente;Independiente;Casado;58;1503;F;Arrienda; $75.150 ; $15.030 ;
564;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;28;3610;F;Arrienda; $382.660 ; $38.266 ;
565;Aumenta Cupo;30;Mal Cliente;Independiente;Casado;36;1613;M;Propia; $80.650 ; $16.130 ;
566;Mantiene Cupo;24;Buen Cliente;Dependiente;Casado;30;3129;F;Arrienda; $156.450 ; $15.645 ;
567;Mantiene Cupo;36;Buen Cliente;Independiente;Soltero;41;4028;M;Propia; $426.968 ; $85.394 ;
568;Aumenta Cupo;6;Buen Cliente;Independiente;Soltero;21;11325;F;Arrienda; $1.200.450 ; $240.090 ;
569;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;31;1794;M;Propia; $89.700 ; $8.970 ;
570;Aumenta Cupo;33;Mal Cliente;Dependiente;Soltero;47;1687;M;Propia; $178.822 ; $17.882 ;
571;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;27;2317;M;Propia; $245.602 ; $49.120 ;
572;Aumenta Cupo;36;Mal Cliente;Dependiente;Casado;46;2749;M;Propia; $137.450 ; $13.745 ;
573;Mantiene Cupo;26;Buen Cliente;Dependiente;Casado;59;1379;M;Propia; $68.950 ; $6.895 ;
574;Mantiene Cupo;30;Mal Cliente;Dependiente;Casado;59;2390;M;Propia; $119.500 ; $11.950 ;
575;Mantiene Cupo;36;Buen Cliente;Dependiente;Casado;50;2429;M;Propia; $121.450 ; $12.145 ;
576;Mantiene Cupo;40;Mal Cliente;Independiente;Casado;48;2472;M;Propia; $123.600 ; $24.720 ;
577;Disminuye Cupo;64;Buen Cliente;Dependiente;Casado;46;2810;M;Propia; $140.500 ; $14.050 ;
578;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;26;1970;M;Propia; $208.820 ; $20.882 ;
579;Disminuye Cupo;61;Buen Cliente;Dependiente;Casado;54;2796;F;Arrienda; $139.800 ; $13.980 ;
580;Disminuye Cupo;42;Buen Cliente;Dependiente;Casado;36;1116;F;Arrienda; $55.800 ; $5.580 ;
581;Disminuye Cupo;24;Mal Cliente;Dependiente;Casado;38;2415;M;Propia; $120.750 ; $12.075 ;
582;Disminuye Cupo;24;Buen Cliente;Dependiente;Soltero;31;2445;M;Arrienda; $259.170 ; $25.917 ;
583;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;35;3441;M;Propia; $172.050 ; $17.205 ;
584;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;27;4671;F;Arrienda; $233.550 ; $23.355 ;
585;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;38;4976;M;Propia; $527.456 ; $52.746 ;
586;Disminuye Cupo;23;Buen Cliente;Dependiente;Soltero;56;4023;M;Propia; $426.438 ; $42.644 ;
587;Disminuye Cupo;18;Buen Cliente;Independiente;Casado;53;4905;M;Propia; $245.250 ; $49.050 ;
588;Disminuye Cupo;36;Mal Cliente;Dependiente;Casado;56;1256;M;Propia; $62.800 ; $6.280 ;
589;Disminuye Cupo;18;Buen Cliente;Dependiente;Soltero;45;2301;F;Arrienda; $243.906 ; $24.391 ;
590;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;37;1862;F;Arrienda; $197.372 ; $19.737 ;
591;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;34;1923;M;Propia; $203.838 ; $20.384 ;
592;Disminuye Cupo;8;Buen Cliente;Independiente;Soltero;25;2462;M;Propia; $260.972 ; $52.194 ;
593;Disminuye Cupo;36;Buen Cliente;Dependiente;Casado;50;878;F;Arrienda; $43.900 ; $4.390 ;
594;Disminuye Cupo;24;Mal Cliente;Independiente;Soltero;30;2816;F;Arrienda; $298.496 ; $59.699 ;
595;Disminuye Cupo;30;Mal Cliente;Dependiente;Casado;33;1213;M;Arrienda; $60.650 ; $6.065 ;
596;Disminuye Cupo;36;Buen Cliente;Dependiente;Soltero;37;4426;M;Propia; $469.156 ; $46.916 ;
597;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;33;6710;M;Propia; $711.260 ; $71.126 ;
598;Disminuye Cupo;21;Mal Cliente;Independiente;Casado;38;1386;M;Propia; $69.300 ; $13.860 ;
599;Disminuye Cupo;30;Buen Cliente;Dependiente;Soltero;36;2513;M;Propia; $266.378 ; $26.638 ;
600;Disminuye Cupo;36;Buen Cliente;Dependiente;Soltero;36;1909;M;Propia; $202.354 ; $20.235 ;
601;Disminuye Cupo;36;Buen Cliente;Dependiente;Casado;45;1324;M;Propia; $66.200 ; $6.620 ;
602;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;29;3428;M;Propia; $363.368 ; $36.337 ;
603;Disminuye Cupo;6;Buen Cliente;Independiente;Soltero;38;2270;F;Arrienda; $240.620 ; $48.124 ;
604;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;30;2965;M;Propia; $314.290 ; $31.429 ;
605;Disminuye Cupo;36;Buen Cliente;Dependiente;Soltero;28;1903;M;Propia; $201.718 ; $20.172 ;
606;Disminuye Cupo;15;Buen Cliente;Dependiente;Soltero;25;1814;M;Arrienda; $192.284 ; $19.228 ;
607;Mantiene Cupo;6;Buen Cliente;Dependiente;Casado;34;1993;M;Propia; $99.650 ; $9.965 ;
608;Disminuye Cupo;6;Buen Cliente;Independiente;Soltero;25;1768;F;Arrienda; $187.408 ; $37.482 ;
609;Disminuye Cupo;2;Mal Cliente;Dependiente;Soltero;35;1382;M;Propia; $146.492 ; $14.649 ;
610;Mantiene Cupo;24;Buen Cliente;Dependiente;Casado;40;4285;M;Propia; $214.250 ; $21.425 ;
611;Mantiene Cupo;12;Buen Cliente;Independiente;Casado;31;5534;F;Arrienda; $276.700 ; $55.340 ;
612;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;33;2856;M;Arrienda; $142.800 ; $14.280 ;
613;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;36;2844;F;Arrienda; $301.464 ; $30.146 ;
614;Disminuye Cupo;15;Buen Cliente;Dependiente;Soltero;38;2926;F;Arrienda; $310.156 ; $31.016 ;
615;Disminuye Cupo;24;Buen Cliente;Dependiente;Casado;29;3414;M;Propia; $170.700 ; $17.070 ;
616;Disminuye Cupo;12;Buen Cliente;Independiente;Soltero;29;1992;F;Arrienda; $211.152 ; $42.230 ;
617;Disminuye Cupo;30;Mal Cliente;Dependiente;Soltero;43;2193;M;Propia; $232.458 ; $23.246 ;
618;Disminuye Cupo;18;Buen Cliente;Independiente;Soltero;45;859;M;Propia; $91.054 ; $18.211 ;
619;Disminuye Cupo;52;Buen Cliente;Dependiente;Casado;57;2621;M;Arrienda; $131.050 ; $13.105 ;
620;Mantiene Cupo;12;Mal Cliente;Independiente;Soltero;24;3962;M;Propia; $419.972 ; $83.994 ;
621;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;44;1608;M;Arrienda; $170.448 ; $17.045 ;
622;Aumenta Cupo;24;Buen Cliente;Independiente;Soltero;54;1948;M;Propia; $206.488 ; $41.298 ;
623;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;31;1741;M;Propia; $184.546 ; $18.455 ;
624;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;60;1725;M;Propia; $182.850 ; $18.285 ;
625;Disminuye Cupo;24;Buen Cliente;Dependiente;Casado;36;4422;M;Propia; $221.100 ; $22.110 ;
626;Disminuye Cupo;6;Buen Cliente;Dependiente;Soltero;42;842;M;Propia; $89.252 ; $8.925 ;
627;Aumenta Cupo;12;Buen Cliente;Independiente;Casado;28;2584;M;Propia; $129.200 ; $25.840 ;
628;Aumenta Cupo;18;Buen Cliente;Dependiente;Casado;35;6298;M;Propia; $314.900 ; $31.490 ;
629;Aumenta Cupo;6;Buen Cliente;Dependiente;Casado;35;1747;M;Propia; $87.350 ; $8.735 ;
630;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;34;2413;F;Arrienda; $120.650 ; $12.065 ;
631;Disminuye Cupo;15;Buen Cliente;Dependiente;Soltero;42;3685;F;Arrienda; $390.610 ; $39.061 ;
632;Disminuye Cupo;42;Mal Cliente;Dependiente;Soltero;53;2254;M;Propia; $238.924 ; $23.892 ;
633;Disminuye Cupo;24;Buen Cliente;Dependiente;Soltero;37;2400;M;Propia; $254.400 ; $25.440 ;
634;Disminuye Cupo;36;Buen Cliente;Dependiente;Soltero;33;1686;M;Propia; $178.716 ; $17.872 ;
635;Disminuye Cupo;36;Mal Cliente;Independiente;Casado;29;1505;M;Propia; $75.250 ; $15.050 ;
636;Disminuye Cupo;24;Buen Cliente;Dependiente;Soltero;37;3281;M;Propia; $347.786 ; $34.779 ;
637;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;35;1899;M;Propia; $94.950 ; $9.495 ;
638;Disminuye Cupo;13;Buen Cliente;Independiente;Soltero;29;6192;M;Propia; $656.352 ; $131.270 ;
639;Disminuye Cupo;20;Buen Cliente;Dependiente;Soltero;40;2840;F;Arrienda; $301.040 ; $30.104 ;
640;Disminuye Cupo;24;Buen Cliente;Dependiente;Soltero;50;2723;M;Propia; $288.638 ; $28.864 ;
641;Disminuye Cupo;36;Buen Cliente;Dependiente;Casado;35;2351;F;Propia; $117.550 ; $11.755 ;
642;Mantiene Cupo;42;Mal Cliente;Independiente;Casado;32;4161;M;Arrienda; $208.050 ; $41.610 ;
643;Disminuye Cupo;24;Buen Cliente;Dependiente;Soltero;29;8937;F;Arrienda; $947.322 ; $94.732 ;
644;Disminuye Cupo;46;Buen Cliente;Dependiente;Soltero;32;2705;F;Arrienda; $286.730 ; $28.673 ;
645;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;40;2267;M;Propia; $240.302 ; $24.030 ;
646;Disminuye Cupo;36;Mal Cliente;Independiente;Soltero;49;4059;M;Arrienda; $430.254 ; $86.051 ;
647;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;37;8171;M;Propia; $866.126 ; $86.613 ;
648;Aumenta Cupo;22;Mal Cliente;Dependiente;Casado;53;1894;M;Propia; $94.700 ; $9.470 ;
649;Mantiene Cupo;30;Mal Cliente;Independiente;Soltero;31;3278;M;Propia; $347.468 ; $69.494 ;
650;Mantiene Cupo;18;Buen Cliente;Independiente;Casado;30;1749;M;Propia; $87.450 ; $17.490 ;
651;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;32;4399;F;Arrienda; $466.294 ; $46.629 ;
652;Mantiene Cupo;6;Buen Cliente;Dependiente;Casado;37;3351;M;Propia; $167.550 ; $16.755 ;
653;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;22;1159;M;Propia; $122.854 ; $12.285 ;
654;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;46;1737;M;Propia; $184.122 ; $18.412 ;
655;Mantiene Cupo;35;Mal Cliente;Independiente;Casado;52;9063;M;Propia; $453.150 ; $90.630 ;
656;Mantiene Cupo;18;Buen Cliente;Independiente;Soltero;37;1966;M;Propia; $208.396 ; $41.679 ;
657;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;30;4830;M;Propia; $511.980 ; $51.198 ;
658;Mantiene Cupo;6;Buen Cliente;Dependiente;Soltero;23;1252;F;Arrienda; $132.712 ; $13.271 ;
659;Mantiene Cupo;7;Buen Cliente;Dependiente;Casado;36;2022;M;Propia; $101.100 ; $10.110 ;
660;Mantiene Cupo;6;Buen Cliente;Dependiente;Soltero;22;1728;F;Propia; $183.168 ; $18.317 ;
661;Mantiene Cupo;8;Buen Cliente;Dependiente;Soltero;28;2053;M;Propia; $217.618 ; $21.762 ;
662;Mantiene Cupo;12;Buen Cliente;Dependiente;Casado;31;2691;M;Propia; $134.550 ; $13.455 ;
663;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;26;2834;F;Propia; $300.404 ; $30.040 ;
664;Mantiene Cupo;6;Buen Cliente;Dependiente;Casado;38;1051;M;Propia; $52.550 ; $5.255 ;
665;Disminuye Cupo;8;Buen Cliente;Independiente;Soltero;32;1766;M;Propia; $187.196 ; $37.439 ;
666;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;43;10816;F;Arrienda; $1.146.496 ; $114.650 ;
667;Mantiene Cupo;0;Buen Cliente;Dependiente;Casado;49;2018;F;Arrienda; $100.900 ; $10.090 ;
668;Mantiene Cupo;13;Buen Cliente;Dependiente;Soltero;28;3938;M;Propia; $417.428 ; $41.743 ;
669;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;34;2250;F;Propia; $238.500 ; $23.850 ;
670;Mantiene Cupo;7;Buen Cliente;Dependiente;Soltero;47;4601;M;Propia; $487.706 ; $48.771 ;
671;Mantiene Cupo;13;Buen Cliente;Dependiente;Soltero;42;3349;F;Arrienda; $354.994 ; $35.499 ;
672;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;30;1254;F;Propia; $132.924 ; $13.292 ;
673;Mantiene Cupo;18;Buen Cliente;Dependiente;Casado;34;4045;F;Arrienda; $202.250 ; $20.225 ;
674;Mantiene Cupo;8;Buen Cliente;Dependiente;Soltero;27;4093;F;Arrienda; $433.858 ; $43.386 ;
675;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;24;2596;F;Propia; $275.176 ; $27.518 ;
676;Mantiene Cupo;6;Mal Cliente;Independiente;Soltero;34;1843;M;Arrienda; $195.358 ; $39.072 ;
677;Disminuye Cupo;9;Buen Cliente;Dependiente;Casado;26;1725;M;Propia; $86.250 ; $8.625 ;
678;Mantiene Cupo;18;Buen Cliente;Dependiente;Casado;48;1763;F;Arrienda; $88.150 ; $8.815 ;
679;Mantiene Cupo;15;Buen Cliente;Dependiente;Casado;44;1943;M;Propia; $97.150 ; $9.715 ;
680;Mantiene Cupo;6;Buen Cliente;Dependiente;Soltero;25;1359;F;Propia; $144.054 ; $14.405 ;
681;Mantiene Cupo;10;Mal Cliente;Dependiente;Casado;29;1708;M;Propia; $85.400 ; $8.540 ;
682;Mantiene Cupo;12;Buen Cliente;Dependiente;Casado;35;1110;F;Propia; $55.500 ; $5.550 ;
683;Mantiene Cupo;20;Buen Cliente;Dependiente;Casado;34;3897;M;Propia; $194.850 ; $19.485 ;
684;Mantiene Cupo;15;Buen Cliente;Dependiente;Soltero;32;4018;M;Propia; $425.908 ; $42.591 ;
685;Disminuye Cupo;12;Buen Cliente;Dependiente;Soltero;29;4110;M;Propia; $435.660 ; $43.566 ;
686;Aumenta Cupo;24;Buen Cliente;Dependiente;Casado;34;1133;M;Propia; $56.650 ; $5.665 ;
687;Mantiene Cupo;10;Buen Cliente;Dependiente;Soltero;33;5125;M;Arrienda; $543.250 ; $54.325 ;
688;Mantiene Cupo;38;Mal Cliente;Dependiente;Casado;28;2803;F;Arrienda; $140.150 ; $14.015 ;
689;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;35;3807;F;Arrienda; $403.542 ; $40.354 ;
690;Disminuye Cupo;24;Mal Cliente;Dependiente;Soltero;30;788;F;Arrienda; $83.528 ; $8.353 ;
691;Aumenta Cupo;0;Buen Cliente;Dependiente;Casado;51;2957;F;Arrienda; $147.850 ; $14.785 ;
692;Disminuye Cupo;12;Buen Cliente;Independiente;Casado;42;1928;F;Propia; $96.400 ; $19.280 ;
693;Mantiene Cupo;6;Buen Cliente;Dependiente;Soltero;32;2671;F;Propia; $283.126 ; $28.313 ;
694;Aumenta Cupo;15;Buen Cliente;Dependiente;Soltero;33;2348;F;Arrienda; $248.888 ; $24.889 ;
695;Aumenta Cupo;12;Buen Cliente;Dependiente;Soltero;38;1899;M;Propia; $201.294 ; $20.129 ;
696;Aumenta Cupo;70;Mal Cliente;Dependiente;Casado;54;1410;M;Propia; $70.500 ; $7.050 ;
697;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;37;2193;F;Arrienda; $232.458 ; $46.492 ;
698;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;36;1433;F;Propia; $151.898 ; $15.190 ;
699;Mantiene Cupo;45;Mal Cliente;Dependiente;Casado;59;2770;M;Propia; $138.500 ; $13.850 ;
700;Disminuye Cupo;24;Buen Cliente;Dependiente;Soltero;33;789;F;Arrienda; $83.634 ; $8.363 ;
701;Disminuye Cupo;36;Buen Cliente;Dependiente;Casado;42;5602;M;Propia; $280.100 ; $28.010 ;
702;Mantiene Cupo;36;Mal Cliente;Dependiente;Soltero;36;4199;M;Propia; $445.094 ; $44.509 ;
703;Disminuye Cupo;18;Buen Cliente;Dependiente;Soltero;41;1195;F;Arrienda; $126.670 ; $12.667 ;
704;Disminuye Cupo;30;Buen Cliente;Dependiente;Soltero;30;1919;F;Arrienda; $203.414 ; $20.341 ;
705;Disminuye Cupo;6;Buen Cliente;Dependiente;Soltero;29;1380;M;Propia; $146.280 ; $14.628 ;
706;Aumenta Cupo;15;Buen Cliente;Dependiente;Soltero;45;3201;M;Propia; $339.306 ; $33.931 ;
707;Mantiene Cupo;24;Buen Cliente;Dependiente;Casado;48;700;M;Propia; $35.000 ; $3.500 ;
708;Mantiene Cupo;30;Mal Cliente;Independiente;Soltero;48;1651;M;Propia; $175.006 ; $35.001 ;
709;Disminuye Cupo;53;Mal Cliente;Independiente;Casado;59;1750;F;Arrienda; $87.500 ; $17.500 ;
710;Aumenta Cupo;39;Mal Cliente;Dependiente;Casado;51;3466;M;Propia; $173.300 ; $17.330 ;
711;Aumenta Cupo;24;Buen Cliente;Independiente;Soltero;28;2047;F;Arrienda; $216.982 ; $43.396 ;
712;Disminuye Cupo;42;Buen Cliente;Dependiente;Casado;42;2523;M;Propia; $126.150 ; $12.615 ;
713;Aumenta Cupo;36;Buen Cliente;Independiente;Soltero;29;2592;M;Propia; $274.752 ; $54.950 ;
714;Aumenta Cupo;9;Buen Cliente;Dependiente;Soltero;26;2582;F;Arrienda; $273.692 ; $27.369 ;
715;Aumenta Cupo;6;Buen Cliente;Independiente;Casado;56;1737;M;Propia; $86.850 ; $17.370 ;
716;Aumenta Cupo;38;Mal Cliente;Dependiente;Casado;29;1868;M;Propia; $93.400 ; $9.340 ;
717;Disminuye Cupo;1;Mal Cliente;Dependiente;Soltero;37;1793;M;Propia; $190.058 ; $19.006 ;
718;Aumenta Cupo;24;Buen Cliente;Independiente;Soltero;28;2377;M;Propia; $251.962 ; $50.392 ;
719;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;31;1733;F;Arrienda; $183.698 ; $18.370 ;
720;Mantiene Cupo;30;Buen Cliente;Dependiente;Soltero;45;1167;F;Propia; $123.702 ; $12.370 ;
