Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
052-250-527-663-352,Image guidance can support scaphoid K-wire insertion: an experimental study and initial clinical experience.,2012-11-30,2012,clinical trial,International journal of computer assisted radiology and surgery,18616429; 18616410,Springer Science and Business Media LLC,Germany,H. Schöll; Martin Mentzel; Almut Jones; J. Gülke; Florian Gebhard; Michael Kraus,,8,3,471,480,Radiology; Artificial intelligence; Scaphoid bone; Computer navigation; Fluoroscopic image; Intraoperative fluoroscopy; Image guidance; Computer vision; Computer science,,"Adult; Bone Wires; Cohort Studies; Feasibility Studies; Female; Fluoroscopy; Fracture Fixation, Internal; Fractures, Bone/surgery; Humans; Male; Middle Aged; Models, Biological; Radiographic Image Interpretation, Computer-Assisted; Scaphoid Bone/injuries; Surgery, Computer-Assisted; Young Adult",,,https://rd.springer.com/article/10.1007%2Fs11548-012-0799-x https://dblp.uni-trier.de/db/journals/cars/cars8.html#SchollMJGGK13 https://doi.org/10.1007/s11548-012-0799-x https://link.springer.com/article/10.1007/s11548-012-0799-x/fulltext.html https://link.springer.com/article/10.1007%2Fs11548-012-0799-x https://www.ncbi.nlm.nih.gov/pubmed/23196791 https://europepmc.org/article/MED/23196791,http://dx.doi.org/10.1007/s11548-012-0799-x,23196791,10.1007/s11548-012-0799-x,2044310924,,0,001-982-966-075-679; 003-692-253-933-044; 003-839-556-603-126; 005-507-812-994-499; 008-732-890-548-224; 009-606-694-358-561; 010-941-045-672-909; 018-715-993-776-287; 018-720-475-727-342; 019-592-776-729-942; 019-969-254-488-966; 020-021-658-179-659; 020-142-461-997-683; 021-937-972-240-012; 026-727-224-068-823; 027-935-095-216-713; 031-439-635-319-02X; 035-563-604-503-207; 039-116-572-215-235; 040-222-601-976-821; 040-737-451-275-247; 043-743-678-883-722; 044-914-619-814-049; 047-221-905-384-85X; 058-031-014-647-937; 058-449-856-185-263; 059-525-180-171-125; 062-728-932-128-786; 074-324-981-337-749; 086-027-051-536-99X; 091-538-077-999-98X; 091-737-709-823-993; 098-977-707-347-492; 107-167-560-615-682; 110-544-995-752-634; 110-899-180-807-270; 121-617-962-979-510; 135-625-639-937-597; 139-658-411-323-27X; 146-007-848-446-437; 149-352-036-526-091,3,false,,
052-532-903-881-042,NAYAN-DRISHTI: A Revolutionary Navigation/Visual Aid for the Visually Impaired,2022-01-07,2022,book chapter,ICT Analysis and Applications,23673370; 23673389,Springer Nature Singapore,,Salil Fernandes; Jordan D'souza; Anthony Kattikaren; Dipti Jadhav,"The project/proposed product hinges on three domains of computational technology, i.e., machine learning, convolutional neural networks, and Internet of Things. The aim of the project is to invent a product that is helpful to the disabled section of society as ideally as possible try to as well as to acquaint ourselves with the much talked about and ever-growing domains of computer technology. The main functions that our proposed product will offer are detection of the obstructing object and alerting via a speaker (along with classification and distance of the object from the user) and a navigation system (which obtains live data of the current location of the user with the help of the UBLOX GPS module). The proposed product is designed in such a way so as to provide an all in one multitasking and hassle-free solution to our user and to ease the burden that comes along with the disability of blindness. The proposed product is touted as a boon to our users since it not only will help them in identifying the obstructions ahead them but will also help them to navigate from their current location to their destination with freedom and no fear.",,,319,333,Product (mathematics); Computer science; Human–computer interaction; Object (grammar); Blindness; Convolutional neural network; Artificial intelligence; Multimedia; Medicine; Geometry; Mathematics; Optometry,,,,,,http://dx.doi.org/10.1007/978-981-16-5655-2_31,,10.1007/978-981-16-5655-2_31,,,0,011-876-327-472-778; 014-898-844-427-824; 026-643-112-784-819; 053-567-501-093-090; 090-579-353-754-095; 098-966-666-704-92X,0,false,,
052-995-732-160-953,Haptic access to conventional 2D maps for the visually impaired,,2007,journal article,Journal on Multimodal User Interfaces,17837677; 17838738,Springer Science and Business Media LLC,Germany,Konstantinos Kostopoulos; Konstantinos Moustakas; Dimitrios Tzovaras; G. Nikolakis; Céline Thillou; Bernard Gosselin,,1,2,13,19,Image (mathematics); Haptic technology; Artificial intelligence; Structure (mathematical logic); Street network; Braille; Computer vision; Computer science; Representation (mathematics); Motion planning; Segmentation,,,,,https://dblp.uni-trier.de/db/journals/jmui/jmui1.html#KostopoulosMTNT07 https://link.springer.com/article/10.1007/BF02910055 http://doi.org/10.1007/BF02910055 https://doi.org/10.1007/BF02910055,http://dx.doi.org/10.1007/bf02910055,,10.1007/bf02910055,1982970088,,2,012-750-295-449-313; 013-889-868-604-441; 014-466-173-833-872; 021-048-440-726-636; 036-149-176-762-271; 037-238-441-886-162; 043-814-570-325-361; 045-372-840-476-205; 052-673-321-270-910; 055-084-531-118-005; 068-126-505-766-37X; 085-008-427-439-371; 115-940-056-507-071; 136-706-260-262-151; 148-824-702-763-782,17,false,,
053-039-375-036-44X,Integrated Image Processing Device For Visually Impaired,2024-04-17,2024,conference proceedings article,"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",,IEEE,,J. Raja; N Kaviya; B V Koushika; R Sushma,"In a world where technology is developing more quickly than ever before, many of these advances have been aimed at making people's lives easier. To aid with these efforts, we are creating an integrated picture processor for visually impaired people. The main forms of human communication nowadays are speech and text. A person must have the vision to view text-based information. Nonetheless, persons without the ability to see can still learn things by listening. The integrated image processor is an assistive text-reading tool that uses a camera to help the blind read text on labels, printed notes, and merchandise. It entails text extraction from an image using optical character recognition (OCR) and text-to-speech (TTS) conversion to turn it into speech. This method aids the blind in reading the text and serves as the foundation for the creation of a prototype that will enable the blind to identify objects in the real world. Using Jetson Nano, the text from product descriptions is retrieved and rendered as speech, with mobility as the primary consideration. It entails text extraction from an image using optical character recognition (OCR) and text-to-speech (TTS) conversion to turn it into speech. This method aids the blind in reading the text and serves as the foundation for the creation of a prototype that will enable the blind to identify objects in the real world. Using Raspberry Pi, the text from product descriptions is retrieved and rendered as speech, with mobility as the primary consideration. By including a battery backup, portability is made possible and could be used in future technology. The user can use the device at any time and any place because of its portability. The project also has a feature that uses OpenCV and TensorFlow to recognize cash notes. Additionally, this system incorporates deep learning-based object identification, which uses MobileNets and SSD methods for object detection, to recognize various items for recognizing barriers in front of the individual. The person can receive this information as helpful auditory feedback.",,,,,Visually impaired; Computer science; Computer vision; Image processing; Artificial intelligence; Computer graphics (images); Image (mathematics); Human–computer interaction,,,,,,http://dx.doi.org/10.1109/ic3iot60841.2024.10550301,,10.1109/ic3iot60841.2024.10550301,,,0,062-128-353-400-109; 153-016-564-585-716,0,false,,
053-085-272-113-18X,Mobile Tourism Recommendation System for Visually Disabled,2023-08-14,2023,book chapter,"Artificial Intelligence and Data Science in Recommendation System: Current Trends, Technologies and Applications",,BENTHAM SCIENCE PUBLISHERS,,Pooja Selvarajan; Poovizhi Selvan; Vidhushavarshini Sureshkumar; Sathiyabhama Balasubramaniam,"<jats:p>Mobile Tourism Recommendation System recommends to a tourist the best; attractions in a particular place according to his preferences, profile and interest. First,; a Recommender system offers a list of the city places likely to interest the user. This; list estimates the user demographic classification, likes in former trips, and preferences; for the current visit. Second, a planning module schedules the list of recommended; places according to their characteristics and user limitations. The planning system; decides how and when to perform the recommended activities. For implementing these; recommender methods, we have applied different machine learning algorithms, which; are the K-nearest neighbors (K-NN) for both Clean Boot (CB) and Consolidation; Function (CF) and the decision tree for all Data Framing (DF). Thus, executing a; recommendation system for tourists helps them with user-friendly planning. Blind; people can also use this. This application provides complete voice assistance for easy; navigation via a simple button click. Vibratory and voice feedback is provided for; accurate crash alerts for visually challenged people. The application extracts its; smartness by incorporating Android and Internet of Things (IoT) support. Since blind supported applications and devices are more expensive and many blinds can not afford; them, we aim to put forth a novel, low cost and reliable approach to help the blind; explore the possibilities and power of smartphone technology in navigation. We; additionally expect to find the static variables that should be tended to, food, tidiness,; and opening times, and valuable to suggest a tourist place depending on the travel; history of the client. In this investigation, we propose a cross-planning table; methodology depending on the area’s prevalence, appraisals, idle points, and; conclusion. A targeted work for proposal streamlining is defined as dependent on these; mappings. Our outcomes show that the consolidated highlights of Latent Dirichlet; Allocation (LDA), Support vector machines (SVM), appraisals, and cross mappings are; helpful for upgraded execution. The fundamental motivation of this study was to help; businesses related to tourism.</jats:p>",,,205,215,Android (operating system); Recommender system; TRIPS architecture; Computer science; Tourism; World Wide Web; Multimedia; Human–computer interaction; Geography; Archaeology; Parallel computing; Operating system,,,,,,http://dx.doi.org/10.2174/9789815136746123010013,,10.2174/9789815136746123010013,,,0,023-105-612-719-362; 023-168-069-103-520; 034-013-748-327-262; 055-792-857-609-67X; 063-950-955-576-77X; 072-332-352-543-491; 088-836-956-110-064; 094-312-082-398-844; 114-867-559-439-440; 119-750-835-330-867; 148-886-397-271-75X; 175-901-139-875-237; 197-937-994-857-809,0,false,,
053-230-171-891-810,IPTA - Smartphone based guidance system for visually impaired person,,2012,conference proceedings article,"2012 3rd International Conference on Image Processing Theory, Tools and Applications (IPTA)",,IEEE,,Muhammad Asad; Waseem Ikram,"In order to facilitate the visually impaired person in navigation, we have developed a prototype guidance system. The main assumption of this guidance system is that there are many straight paths in different real world scenarios. These straight paths have parallel edges, which when captured as an image seem to converge to a single point called the vanishing point. Proper feature extraction and mathematical modelling of the captured frame leads to the detection of these parallel edges. The vanishing point is then calculated and a decision system is formed which notifies the blind person about his/her deviation from a straight path. The scope of this system is limited to a straight path and has been tested in different lighting conditions and with different level of occlusion. A laptop mounted on a 2D robotic platform is used to develop and verify the robustness of the algorithm. Finally, a smartphone based real-time application has been implemented for this visual guidance system, in which the decision system returns an audio output to guide the visually impaired person. This application has an average execution rate of 20 frames per second, with each frame being of 320 by 240 pixel size. The system has an accuracy of 84.1% in a scenario with pedestrians and other objects, while without pedestrians it produces an accuracy of over 90%.",,,442,447,Artificial intelligence; Pixel; Edge detection; Guidance system; Computer vision; Frame rate; Computer science; Feature extraction; Computer graphics; Robustness (computer science); Vanishing point,,,,,https://www.researchgate.net/profile/Muhammad_Asad14/publication/261494029_Smartphone_based_guidance_system_for_visually_impaired_person/links/547f2e030cf2de80e7cc784b.pdf https://ieeexplore.ieee.org/document/6469553/ http://dblp.uni-trier.de/db/conf/ipta/ipta2012.html#AsadI12 https://dblp.uni-trier.de/db/conf/ipta/ipta2012.html#AsadI12,http://dx.doi.org/10.1109/ipta.2012.6469553,,10.1109/ipta.2012.6469553,1974736993,,0,001-977-631-509-918; 006-355-537-489-40X; 013-089-871-422-440; 016-596-154-667-651; 022-080-663-087-348; 027-893-571-523-130; 028-894-873-434-548; 046-262-856-533-736; 050-007-989-745-990; 061-665-974-023-921; 068-858-525-190-391; 071-155-883-706-818; 081-141-746-741-399; 092-642-014-398-50X; 093-219-699-117-536; 109-617-690-629-802; 128-154-672-313-987; 170-097-126-166-339,8,false,,
053-230-236-592-142,Mobile Robotics Technology in the Service of the Blind and Visually Impaired,,2001,journal article,IFAC Proceedings Volumes,14746670,Elsevier BV,,Shraga Shoval; Iwan Ulrich; Johann Borenstein,,34,4,39,44,Engineering; Artificial intelligence; Human–machine interface; Mobile robot; Obstacle; PATH (variable); Visually impaired; Computer vision; Robotics; Service (systems architecture); Obstacle avoidance,,,,,https://www.sciencedirect.com/science/article/pii/S1474667017342702,http://dx.doi.org/10.1016/s1474-6670(17)34270-2,,10.1016/s1474-6670(17)34270-2,2614720659,,0,058-443-047-291-990; 065-992-777-809-97X; 073-722-974-726-137; 078-736-735-476-395; 127-769-262-221-224; 135-646-014-794-306,1,false,,
053-240-315-716-245,A Camera-Based Mobility Aid for Visually Impaired People,2015-10-15,2015,journal article,KI - Künstliche Intelligenz,09331875; 16101987,Springer Science and Business Media LLC,,Tobias Schwarze; Martin Lauer; Manuel Schwaab; Michailas Romanovas; Sandra Böhm; Thomas Jürgensohn,"We present a wearable assistance system for visually impaired persons that perceives the environment with a stereo camera system and communicates obstacles and other objects to the user in form of intuitive acoustic feedback. The system is designed to complement traditional assistance aids. We describe the core techniques of scene understanding, head tracking, and sonification and show in an experimental study that it enables users to walk in unknown urban terrain and to avoid obstacles safely.",30,1,29,36,Wearable computer; Artificial intelligence; Stereo camera; Mobility aid; Visually Impaired Persons; Urban terrain; Visually impaired; Computer vision; Audio feedback; Computer science; Sonification,,,,Bundesministerium für Bildung und Forschung (DE),https://dblp.uni-trier.de/db/journals/ki/ki30.html#SchwarzeLSRBJ16 https://link.springer.com/content/pdf/10.1007%2Fs13218-015-0407-7.pdf https://elib.dlr.de/98831/ https://dx.doi.org/10.1007/s13218-015-0407-7 https://publikationen.bibliothek.kit.edu/1000135289 https://link.springer.com/article/10.1007%2Fs13218-015-0407-7 https://core.ac.uk/display/31019810 http://dx.doi.org/10.1007/s13218-015-0407-7 https://core.ac.uk/download/31019810.pdf,http://dx.doi.org/10.1007/s13218-015-0407-7,,10.1007/s13218-015-0407-7,2180774566,,4,004-198-036-488-477; 009-142-401-900-87X; 013-056-435-015-274; 043-471-326-261-026; 061-199-231-534-098; 066-278-641-931-35X; 073-928-284-197-323; 077-517-760-010-566; 080-192-732-768-316; 102-664-707-369-750; 115-249-087-039-008; 140-661-510-168-802; 170-387-846-090-147; 175-391-077-920-292,25,true,,green
053-543-102-387-140,ASSIST: Assistive Sensor Solutions for Independent and Safe Travel of Blind and Visually Impaired People,2021-12-01,2021,conference proceedings,,,,,Zhigang Zhu; Vishnu Nair; Greg Olmschenk; William Seiple,"This paper describes the interface and testing of an indoor navigation app - ASSIST - that guides blind & visually impaired (BVI) individuals through an indoor environment with high accuracy while augmenting their understanding of the surrounding environment. ASSIST features personalized inter-faces by considering the unique experiences that BVI individuals have in indoor wayfinding and offers multiple levels of multimodal feedback. After an overview of the technical approach and implementation of the first prototype of the ASSIST system, the results of two pilot studies performed with BVI individuals are presented. Our studies show that ASSIST is useful in providing users with navigational guidance, improving their efficiency and (more significantly) their safety and accuracy in wayfinding indoors.",,,,,Human–computer interaction; Interface (computing); Visually impaired; Computer science,,,,,https://par.nsf.gov/biblio/10286824-assist-assistive-sensor-solutions-independent-safe-travel-blind-visually-impaired-people,https://par.nsf.gov/biblio/10286824-assist-assistive-sensor-solutions-independent-safe-travel-blind-visually-impaired-people,,,3216639539,,0,,0,false,,
053-628-951-915-959,An inexpensive and portable talking-tactile terminal for the visually handicapped,,1986,journal article,Journal of medical systems,01485598; 1573689x,Springer Science and Business Media LLC,United States,A. I. Karshmer; Harley R. Myler; R. D. Davis,,10,3,229,244,Human–computer interaction; Interfacing; Terminal (electronics); Programmer; Task (project management); Communication Aids for Disabled; Self-Help Devices; Terminal device; Computer science; Reading (process),,Algorithms; Blindness/rehabilitation; Communication Aids for Disabled; Computers/economics; Costs and Cost Analysis; Humans; Microcomputers/economics; Reading; Self-Help Devices; Sensory Aids; Touch,,,https://europepmc.org/abstract/MED/2946791 https://pubmed.ncbi.nlm.nih.gov/2946791/ https://www.ncbi.nlm.nih.gov/pubmed/2946791 https://link.springer.com/article/10.1007%2FBF00992818,http://dx.doi.org/10.1007/bf00992818,2946791,10.1007/bf00992818,2057749578,,0,000-715-078-373-800; 013-572-780-984-43X; 016-916-819-374-037; 018-189-306-959-085; 064-309-640-955-153; 067-703-409-249-146; 070-081-071-494-56X; 086-749-754-777-428; 090-356-995-862-794; 103-753-857-716-667; 112-952-041-660-603; 138-297-834-060-718; 139-079-984-998-681; 142-422-346-370-703,7,false,,
053-898-899-315-453,AAAI Spring Symposium: Multidisciplinary Collaboration for Socially Assistive Robotics - Robots as Haptic and Locomotor Interfaces for the Blind.,,2007,conference proceedings,,,,,Vladimir Kulyukin,"To ensure independence, an assistive shopping device must provide the blind shopper with interfaces to the supermarket’s haptic and locomotor spaces. In the absence of vision, the egocentric and allocentric frames are known to align best in the haptic space. Robots can function as interfaces to the haptic and locomotor spaces to the extent that they can eliminate the need of frame alignment in the locomotor space and cue the shopper to the salient features of the environment sufficient for product retrieval. Research on spatial cognition and navigation of the visually impaired distinguishes two spatial categories: locomotor and haptic (Ungar 2000). The haptic space is defined as the immediate space around the individual that can be sensed by touch or limb motion without any bodily translation. The locomotor space is defined as a space whose exploration requires locomotion. In the absence of vision, the egocentric (self to object) and allocentric (object to object) frames of reference align best in the haptic space. As the haptic space translates with the body, lack of vision causes the frames to misalign in the locomotor space, which negatively affects action reliability. Giving the visually impaired equal access to everyday environments entails designing interfaces to the haptic and locomotor spaces of those environments that either eliminate the necessity of alignment or enable the visually impaired to align the frames when necessary. What environments should be targeted first? In cataloguing the most functionally difficult environments for the visually impaired, Passini and Proulx (Passini & Proulx 2000) top their list with shopping complexes. Grocery shopping is an activity that presents a barrier to independence for many visually impaired individuals who either do not go grocery shopping at all or depend on sighted guides, e.g., store staffers, spouses, and friends. Can robots function as effective interfaces to the haptic and locomotor spaces in the supermarket? We believe that they can. Neither guide dogs nor white canes can effectively interface to locomotor spaces, because they cannot help their users with macronavigation, which requires topological knowledge of the environment. Sighted guides do ensure the reliable maneuCopyright c © 2007, American Association for Artificial Intelligence (www.aaai.org). All rights reserved. Figure 1: RoboCart. vering of the haptic space, but only at the expense of independence. Loss of independence translates into loss of privacy. Our experience with visually impaired individuals in our previous robot-assisted shopping experiments convinced us that many of them are not willing to use store staffers when shopping for personal hygiene items, medicine, and other products that require discretion (Kulyukin, Gharpure, & Nicholson 2005). A Trichotomous Spatial Ontology Spatial ontologies come about when we attempt to categorize space according to the ways we interact with it (Tversky et al. 1999). Freundschuh and Egenhofer (Freundschuh & Egenhofer 1997) give a comprehensive review of previous work on categorization of space and distinguish six categories based on manipulability, locomotion, and size and use their ontology to describe previous ontologies of space in the geography literature. We contribute to this line of research a trichotomous ontology of space in a supermarket. This trichotomy is an extension of the dichotomous ontology (haptic vs. locomotor) currently used by many researchers on spatial cognition of the visually impaired. Our trichotomy is certainly incomplete. We developed it solely for the purposes of describing the interactions between blind shoppers and RoboCart, our robotic shopping assistant shown in Figure 1. RoboCart assists the shopper in two stages. It first guides the shopper into the vicinity of the desired product and then instructs the shopper on how to maneuver the haptic space within that vicinity. In the first stage, RoboCart interfaces the shopper to the locomotor space, guiding the shopper to the required aisle section and interacting with other shoppers by asking them to yield the way when a passage is blocked. In the second stage, RoboCart cues the shopper to some salient features of the environment near the haptic interface through voice instructions grounded in the shopper’s egocentric frame of reference. The design of RoboCart reflects this dual interface functionality insomuch as the device consists of twomodules: locomotor and haptic. The locomotor module consists of a Pioneer 2DX mobile robotic base from ActivMedia, Inc. upon which a wayfinding toolkit is fitted in a PVC pipe structure. A shopping basket is mounted upon the PCV structure, as shown in Figure 1. The PVC structure includes a firm handle at the lower abdomen level. A 10-key numeric keypad is attached to the handle for giving instructions to RoboCart. Using the numeric keypad, the shopper can either browse through a list of products or enter a product number. Once the shopper confirms the selection, RoboCart guides the shopper to the vicinity of the product. The haptic module consists of a wireless omni-directional barcode reader. The reader is ergonomically modified to help the shopper align the reader with the shelf. After RoboCart brings the shopper in the vicinity of the product, RoboCart uses the shopper’s egocentric frame of reference to instruct the shopper through synthetic speech on how to find the product, e.g. Honey Nut Cheerios is on the top shelf to your right. The shopper finds the shelf and uses the barcode to scan the barcodes on that shelf. The product name of each scanned barcode is read to the shopper. As the robot moves, the rigid PVC handle gives the shopper haptic feedback about the robot’s maneuvers. To describe how the visually impaired shopper interacts with the supermarket space using RoboCart, we introduce the category of target space. The target space is the shoppercentric subspace of the locomotor space in which the shopper perceives the target product to be. The target space is always defined with respect to a specific target product. Haptic cues in the target space act as external reference points during the shopper’s maneuvering of the haptic space in the target space until the haptic space contains the product.",,,36,38,Human–computer interaction; Interface (computing); Haptic technology; Numeric keypad; Spatial cognition; Space (commercial competition); Salient; Computer science; Robot,,,,,http://www.aaai.org/Papers/Symposia/Spring/2007/SS-07-07/SS07-07-008.pdf https://www.aaai.org/Papers/Symposia/Spring/2007/SS-07-07/SS07-07-008.pdf https://dblp.uni-trier.de/db/conf/aaaiss/aaaiss2007-7.html#Kulyukin07a,http://www.aaai.org/Papers/Symposia/Spring/2007/SS-07-07/SS07-07-008.pdf,,,2401880901,,0,015-195-550-005-330; 022-335-702-913-705; 048-298-689-305-353; 094-763-081-817-982; 118-713-134-426-98X; 140-644-534-290-218,0,false,,
054-154-570-256-464,Wearable computers as a virtual environment interface for people with visual impairment,,1998,journal article,Virtual Reality,13594338; 14349957,Springer Science and Business Media LLC,United Kingdom,David Ross,"People who are totally blind or who have vevere visual impairments (e.g. less than 20/200 acuity, central macular scotomas, or advanced diabetic retinopathy) ‘see’ the environment in a fashion that may be completely foreign to those who operate in a very visual fashion. For this population, the visual complexity of the environment is not a concern. What is of concern are salient features found within the environment that relate to their ability to navigate successfully in, and/or interact with, the environment as needed. Toward the purpose of representing these salient features in comprehensive form, investigators at the Atlanta Veterans Affairs Research and Development Center are employing wearable computer technology to develop a virtual environment interface. The long-range goal is to create a simplistic virtual representation of the environment that includes only features related to the current navigational task and/or interactive needs of the person. In a completed study, the use of digital infrared transmitters as ‘beacons’ representing salient features of the environment was explored. The purpose of a current study now in progress is to evaluate and compare various user interface structures that were suggested by subjects during the preliminary study. The problem of interest in the current study is street-crossing; however, the results of this research should be applicable to many other problems, including identifying and locating building entrances, and identifying, locating and interacting with electronic devices such as information kiosks, automated teller machines, and self-serve point-of-sale terminals. The long-range result desired is a wearable computer with which one can easily identify and interact with a wide variety of devices in the environment via one familiar, easy-to-use interface.",3,3,212,221,Interface (computing); Wearable computer; Virtual reality; Virtual machine; Visual impairment; Population; Computer science; Multimedia; User interface; Virtual representation,,,,,https://dblp.uni-trier.de/db/journals/vr/vr3.html#Ross98 https://link.springer.com/article/10.1007%2FBF01408563,http://dx.doi.org/10.1007/bf01408563,,10.1007/bf01408563,2036742622,,0,030-344-810-220-767; 037-452-515-170-720; 047-926-647-780-322; 054-049-478-865-967; 077-352-552-120-40X; 133-238-762-604-971; 142-426-241-123-210; 160-955-031-583-039; 191-212-241-195-568,2,true,"CC BY, CC BY-NC-ND",gold
054-209-231-604-853,DETEKCIJA STEPENICA I PJEŠAČKIH PRIJELAZA MORFOLOŠKOM OBRADOM I ANALIZOM SLIKE U SVRHU USMJERAVANJA SLIJEPIH I SLABOVIDNIH OSOBA,2018-12-11,2018,dissertation,,,,,Kresimir Romic,"Most of the blind and visually impaired persons are still not using advanced navigation and orientation assistance systems. Though it is not yet time to fully expel standard methods such as a white cane, advances in technology now enable the development and gradual introduction of digital mobile systems for helping the blind and visually impaired people. This dissertation describes the issues that need to be solved by such a system, focusing on navigation methods using camera and digital image processing. This research is focused on specific situations when a person is in front of or on stairs and pedestrian crosswalks as potential critical points when walking. In addition to an overview of the existing methods, three newly developed methods are described in detail along with their evaluation. Developed methods include: method for stairs detection using vertical and horizontal analysis, multiresolution method for pedestrian crosswalks detection based on morphological analysis and line energy, method for sound guidance of the blind and visually impaired by determining space for safe movement. There is also an additionally developed framework for evaluating the methods for guidance of the blind and visually impaired on stairs and pedestrian crosswalks. Testing of the developed methods has shown some advantages over existing methods regarding the accuracy, the ability to use with wide-angle input images and the robustness in cases of concealed objects. By testing the processing speed for developed methods, possibility to perform in real-time is proven, which is extremely important for the assistance systems that should be used in the movement.",,,,,Digital image processing; Artificial intelligence; Energy (signal processing); Line (geometry); Pedestrian; Stairs; Visually Impaired Persons; Computer vision; Computer science; Orientation (computer vision); Robustness (computer science),,,,,https://dabar.srce.hr/en/islandora/object/etfos%3A2137 https://repozitorij.etfos.hr/islandora/object/etfos:2137/datastream/PDF/download https://dr.nsk.hr/islandora/object/etfos:2137/datastream/PDF/download https://dr.nsk.hr/islandora/object/etfos%3A2137 https://repozitorij.etfos.hr/islandora/object/etfos:2137,https://dabar.srce.hr/en/islandora/object/etfos%3A2137,,,2940204737,,0,,0,false,,
054-554-410-849-298,Symposia,2012-07-20,2012,journal article,Cognitive Processing,16124782; 16124790,Springer Science and Business Media LLC,Germany,,,13,S1,3,35,,,,,,,http://dx.doi.org/10.1007/s10339-012-0510-8,,10.1007/s10339-012-0510-8,,,0,,1,false,,
055-398-180-024-518,Multi-step anisotropic denoiser scheme applied for cardiac non-contrast CT images,2014-05-21,2014,journal article,International Journal of Computer Assisted Radiology and Surgery,18616410; 18616429,Springer Science and Business Media LLC,Germany,Jakub Zieliński; Krzysztof Nowiński,,9,S1,263,309,Algorithm; Scheme (programming language); Non contrast ct; Computer science; Anisotropy,,,,,https://pbn.nauka.gov.pl/sedno-webapp/works/461155,http://dx.doi.org/10.1007/s11548-014-1047-3,,10.1007/s11548-014-1047-3,2593236287,,0,,1,false,,
055-562-353-796-359,Assistive Helmet for Visually Impaired Human Beings,2024-05-16,2024,conference proceedings article,"2024 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",,IEEE,,Ovidiu Ceoca; Eva-Henrietta Dulf,"The presence of visually impaired people around the globe has greatly increased due to many factors that affects the overall health of a person. In such way, this article reviews the current state of technology and aims a new way to help the people in question. It presents an assistive helmet that incorporates three essential features for the blind people to regain their selfconfidence through independent mobility and with all these, maintaining a low cost making it affordable for the majority. The features early mentioned are Obstacle Avoidance which will guide the person without being hurt by any sudden obstacles, Fall Detection which will produce a strident sound and light signals in order the person to be helped and, lastly, Track Monitoring which is responsible to record the path the user took.",,,,,Visually impaired; Computer science; Human–computer interaction; Computer vision; Artificial intelligence,,,,,,http://dx.doi.org/10.1109/aqtr61889.2024.10554135,,10.1109/aqtr61889.2024.10554135,,,0,001-903-133-002-733; 009-797-354-358-885; 014-370-728-043-246; 018-262-121-105-137; 021-808-392-522-733; 027-805-115-749-256; 055-495-282-581-758; 058-268-989-258-793; 061-205-550-296-347; 078-678-812-782-626; 084-779-991-197-800; 091-172-699-731-204,0,false,,
