"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Tian Y.","Tian, Yingli (16556710700)","16556710700","RGB-D sensor-based computer vision assistive technology for visually impaired persons","2014","Advances in Computer Vision and Pattern Recognition","67","","","173","194","21","23","10.1007/978-3-319-08651-4_9","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84984878640&doi=10.1007%2f978-3-319-08651-4_9&partnerID=40&md5=8f92b57bb85d3bc9f278d49d9b18f610","Department of Electrical Engineering, The City College of New York, New York, 10031, NY, United States","Tian Y., Department of Electrical Engineering, The City College of New York, New York, 10031, NY, United States","A computer vision-based way finding and navigation aid can improve the mobility of blind and visually impaired people to travel independently. In this chapter, we focus on RGB-D sensor-based computer vision technologies in application to assist blind and visually impaired persons. We first briefly review the existing computer vision based assistive technology for the visually impaired. Then we provide a detailed description of the recent RGB-D sensor based assistive technology to help blind or visually impaired people. Next, we present the prototype system to detect and recognize stairs and pedestrian crosswalks based on RGB-D images. Since both stairs and pedestrian crosswalks are featured by a group of parallel lines, Hough transform is applied to extract the concurrent parallel lines based on the RGB (Red, Green, and Blue) channels. Then, the Depth channel is employed to recognize pedestrian crosswalks and stairs. The detected stairs are further identified as stairs going up (upstairs) and stairs going down (downstairs). The distance between the camera and stairs is also estimated for blind users. The detection and recognition results on our collected datasets demonstrate the effectiveness and efficiency of our developed prototype. We conclude the chapter by the discussion of the future directions. © Springer International Publishing Switzerland 2014.","","","Y. Tian; Department of Electrical Engineering, The City College of New York, New York, 10031, United States; email: ytian@ccny.cuny.edu","","Springer-Verlag London Ltd","21916586","","","","English","Adv. Comput. Vis. Pattern Recognit.","Book chapter","Final","","Scopus","2-s2.0-84984878640"
"Bologna G.; Gomez J.D.; Pun T.","Bologna, Guido (7005522450); Gomez, Juan Diego (55436470000); Pun, Thierry (7005509099)","7005522450; 55436470000; 7005509099","Vision substitution experiments with see ColOr","2013","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7930 LNCS","PART 1","","83","93","10","1","10.1007/978-3-642-38637-4_9","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84885729935&doi=10.1007%2f978-3-642-38637-4_9&partnerID=40&md5=5970f239bf5a5c69d6d6492fae0b1eea","Computer Vision and Multimedia Lab., University of Geneva, Switzerland","Bologna G., Computer Vision and Multimedia Lab., University of Geneva, Switzerland; Gomez J.D., Computer Vision and Multimedia Lab., University of Geneva, Switzerland; Pun T., Computer Vision and Multimedia Lab., University of Geneva, Switzerland","See ColOr is a mobility aid for visually impaired people that uses the auditory channel to represent portions of captured images in real time. A distinctive feature of the See ColOr interface is the simultaneous coding of colour and depth. Four main modules were developed, in order to replicate a number of mechanisms present in the human visual systems. In this work, we first present the main experiments carried out in the first years of the project; among them : the avoidance of obstacles, the recognition and localization of objects, the detection of edges and the identification of coloured targets. Finally, we introduce new undergoing experiments in Colombia with blind persons, whose purpose is (1) to determine and to touch a target; (2) to navigate and to find a person; and (3) to find particular objects. Preliminary results illustrate encouraging results. © 2013 Springer-Verlag.","3D-vision; colour-depth sonification; human-computer interaction; vision substitution","Color; Computer vision; Experiments; Human computer interaction; Auditory channel; Blind person; First year; Human Visual System; Main module; Mobility aids; Sonifications; Visually impaired people; Handicapped persons","","","","16113349","978-364238636-7","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","","Scopus","2-s2.0-84885729935"
"Fusco G.; Shen H.; Murali V.; Coughlan J.M.","Fusco, Giovanni (57196680565); Shen, Huiying (14523706200); Murali, Vidya (24825244100); Coughlan, James M. (7006567201)","57196680565; 14523706200; 24825244100; 7006567201","Determining a blind pedestrian's location and orientation at traffic intersections","2014","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8547 LNCS","PART 1","","427","432","5","6","10.1007/978-3-319-08596-8_65","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84904162482&doi=10.1007%2f978-3-319-08596-8_65&partnerID=40&md5=a027e496e43fbbbf1746b9b94ef95b43","Smith-Kettlewell Eye Research Institute, San Francisco, CA, United States","Fusco G., Smith-Kettlewell Eye Research Institute, San Francisco, CA, United States; Shen H., Smith-Kettlewell Eye Research Institute, San Francisco, CA, United States; Murali V., Smith-Kettlewell Eye Research Institute, San Francisco, CA, United States; Coughlan J.M., Smith-Kettlewell Eye Research Institute, San Francisco, CA, United States","This paper describes recent progress on Crosswatch, a smartphone-based computer vision system developed by the authors for providing guidance to blind and visually impaired pedestrians at traffic intersections. One of Crosswatch's key capabilities is determining the user's location (with precision much better than what is obtainable by GPS) and orientation relative to the crosswalk markings in the intersection that he/she is currently standing at; this capability will be used to help him/her find important features in the intersection, such as walk lights, pushbuttons and crosswalks, and achieve proper alignment to these features. We report on two new contributions to Crosswatch: (a) experiments with a modified user interface, tested by blind volunteer participants, that makes it easier to acquire intersection images than with previous versions of Crosswatch; and (b) a demonstration of the system's ability to localize the user with precision better than what is obtainable by GPS, as well as an example of its ability to estimate the user's orientation. © 2014 Springer International Publishing.","Assistive Technology; Blindness; Smartphone; Traffic Intersection; Visual Impairment","Computer vision; Crosswalks; User interfaces; Assistive technology; Blind and visually impaired; Blindness; Computer vision system; Important features; Recent progress; Traffic intersections; Visual impairment; Smartphones","","","Springer Verlag","03029743","978-331908595-1","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84904162482"
"Tapu R.; Mocanu B.; Zaharia T.","Tapu, R. (26424843800); Mocanu, B. (24822846400); Zaharia, T. (6601999900)","26424843800; 24822846400; 6601999900","Real time static/dynamic obstacle detection for visually impaired persons","2014","Digest of Technical Papers - IEEE International Conference on Consumer Electronics","","","6776055","394","395","1","20","10.1109/ICCE.2014.6776055","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84898687259&doi=10.1109%2fICCE.2014.6776055&partnerID=40&md5=8477c214a0f400bfb2afe99785e96dd2","IT/Télécom SudParis, ARTEMIS Department, UMR CNRS 8145 MAP5, Evry, France","Tapu R., IT/Télécom SudParis, ARTEMIS Department, UMR CNRS 8145 MAP5, Evry, France; Mocanu B., IT/Télécom SudParis, ARTEMIS Department, UMR CNRS 8145 MAP5, Evry, France; Zaharia T., IT/Télécom SudParis, ARTEMIS Department, UMR CNRS 8145 MAP5, Evry, France","In this paper we introduce a novel framework for detecting static/moving obstacles in order to assist visually impaired/blind persons to navigate safely. Firstly, a set of interest points is extracted base on an image grid and tracked using the multiscale Lucas - Kanade algorithm. Next, the camera/background motion is determined through a set of homographic transforms, estimated by recursively applying the RANSAC algorithm on the interest point correspondence while other types of movements are identified using an agglomerative clustering technique. Finally, obstacles are classified as urgent/normal based on their distance to the subject and motion vectors orientation. The experimental results performed on various challenging scenes demonstrate that our approach is effective in videos with important camera movement, including noise and low resolution data. © 2014 IEEE.","","Computer vision; Consumer electronics; Obstacle detectors; Agglomerative clustering; Camera movement; Motion Vectors; Obstacle detection; Point correspondence; RANSAC algorithm; Visually impaired; Visually impaired persons; Handicapped persons","","","Institute of Electrical and Electronics Engineers Inc.","0747668X","978-147991291-9","DTPEE","","English","Dig Tech Pap IEEE Int Conf Consum Electron","Conference paper","Final","","Scopus","2-s2.0-84898687259"
"Hans du Buf J.M.; Barroso J.; Rodrigues J.M.F.; Paredes H.; Farrajota M.; Fernandes H.; José J.; Teixeira V.; Saleiro M.","Hans du Buf, J.M. (6505528621); Barroso, João (20435746800); Rodrigues, João M F. (34973296100); Paredes, Hugo (23398113700); Farrajota, Miguel (41361172400); Fernandes, Hugo (35172835800); José, João (39261741400); Teixeira, Victor (57197542636); Saleiro, Mário (39262423000)","6505528621; 20435746800; 34973296100; 23398113700; 41361172400; 35172835800; 39261741400; 57197542636; 39262423000","The SmartVision navigation prototype for blind users","2011","International Journal of Digital Content Technology and its Applications","5","5","","351","361","10","44","10.4156/jdcta.vol5.issue5.39","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-79958050951&doi=10.4156%2fjdcta.vol5.issue5.39&partnerID=40&md5=a876f4c8c7922752ca0ef53dae416f8d","Vision Laboratory - Inst. for Systems and Robotics (ISR), University of the Algarve (FCT and ISE), Faro, Portugal; GECAD, Knowledge Eng. and Decision Support Research Group, Inst. of Engineering of Porto, Portugal; University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal","Hans du Buf J.M., Vision Laboratory - Inst. for Systems and Robotics (ISR), University of the Algarve (FCT and ISE), Faro, Portugal; Barroso J., GECAD, Knowledge Eng. and Decision Support Research Group, Inst. of Engineering of Porto, Portugal, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal; Rodrigues J.M.F., Vision Laboratory - Inst. for Systems and Robotics (ISR), University of the Algarve (FCT and ISE), Faro, Portugal; Paredes H., GECAD, Knowledge Eng. and Decision Support Research Group, Inst. of Engineering of Porto, Portugal, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal; Farrajota M., Vision Laboratory - Inst. for Systems and Robotics (ISR), University of the Algarve (FCT and ISE), Faro, Portugal; Fernandes H., University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal; José J., Vision Laboratory - Inst. for Systems and Robotics (ISR), University of the Algarve (FCT and ISE), Faro, Portugal; Teixeira V., University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal; Saleiro M., Vision Laboratory - Inst. for Systems and Robotics (ISR), University of the Algarve (FCT and ISE), Faro, Portugal","The goal of the Portuguese project SmartVision: active vision for the blind is to develop a small, portable and cheap yet intelligent and reliable system for assisting the blind and visually impaired while navigating autonomously, both in- and outdoor. In this article we present an overview of the prototype, design issues, and its different modules which integrate GPS and Wi-Fi localisation with a GIS, passive RFID tags, and computer vision. The prototype addresses global navigation for going to some destiny, by following known landmarks stored in the GIS in combination with path optimisation, and local navigation with path and obstacle detection just beyond the reach of the white cane. The system does not replace the white cane but complements it, in order to alert the user to looming hazards. In addition, computer vision is used to identify objects on shelves, for example in a pantry or refrigerator. The user-friendly interface consists of a four-button hand-held box, a vibration actuator in the handle of the white cane, and speech synthesis. In the near future, passive RFID tags will be complemented by active tags for marking navigation landmarks, and speech recognition may complement or substitute the vibration actuator.","Autonomous navigation; Vision aid","Actuators; Computer vision; Cryptography; Obstacle detectors; Patient rehabilitation; Radio frequency identification (RFID); Radio navigation; Speech synthesis; Vision aids; Active tag; Active Vision; Autonomous navigation; Blind users; Design issues; Global navigation; Local navigation; Localisation; Obstacle detection; Optimisations; Passive RFID; Reliable systems; User friendly interface; Visually impaired; White cane; Speech recognition","J. M. Hans du Buf; Vision Laboratory - Inst. for Systems and Robotics (ISR), University of the Algarve (FCT and ISE), Faro, Portugal; email: dubuf@ualg.pt","","","19759339","","","","English","Int. J. Digit. Content Technol. Appl.","Article","Final","","Scopus","2-s2.0-79958050951"
"Costa P.; Fernandes H.; Vasconcelos V.; Coelho P.; Barroso J.; Hadjileontiadis L.","Costa, Paulo (7201895673); Fernandes, Hugo (35172835800); Vasconcelos, Verónica (35794011300); Coelho, Paulo (57128835100); Barroso, João (20435746800); Hadjileontiadis, Leontios (7004037926)","7201895673; 35172835800; 35794011300; 57128835100; 20435746800; 7004037926","Fiducials marks detection to assist visually impaired people navigation","2011","International Journal of Digital Content Technology and its Applications","5","5","","342","350","8","2","10.4156/jdcta.vol5.issue5.38","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-79958058723&doi=10.4156%2fjdcta.vol5.issue5.38&partnerID=40&md5=fc5ffb5fbfcf8a5bbc175099803a9673","Polytechnic Institute of Leiria, Portugal; University of Trás-os-Montes e Alto Douro, Portugal; Polytechnic Institute of Coimbra, Portugal; GECAD - Knowledge Engineering and Decision Support Research Center, Porto, Portugal; Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Greece","Costa P., Polytechnic Institute of Leiria, Portugal; Fernandes H., University of Trás-os-Montes e Alto Douro, Portugal; Vasconcelos V., Polytechnic Institute of Coimbra, Portugal; Coelho P., Polytechnic Institute of Leiria, Portugal; Barroso J., University of Trás-os-Montes e Alto Douro, Portugal, GECAD - Knowledge Engineering and Decision Support Research Center, Porto, Portugal; Hadjileontiadis L., Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Greece","Assistive technology enables people to achieve independence in the accomplishment of their daily tasks and enhance their quality of life. Visual information is the basis for most navigational tasks, so visually impaired individuals are at disadvantage due to the lack of information or given unsufficient information about their surrounding environment. With the recent advances in inclusive technology it is possible to extend the support given to people with visual disabilities during their mobility. In this context we propose and describe the SmartVision project, whose global objective is to assist visually impaired people in their navigation through unknown indoor and outdoor environments. This paper is focused mainly on the Computer Vision module of the SmartVision prototype, were we propose a new algorithm to recognise fiducials marks suitably placed on sidewalks, revealing to be a promising solution.","Accessibility; Blind navigation; Computer vision; Ensemble empirical mode decomposition","Computer vision; Navigation; Accessibility; Assistive technology; Blind navigation; Daily tasks; Ensemble empirical mode decomposition; Fiducials; Global objective; Outdoor environment; Quality of life; Surrounding environment; Visual disability; Visual information; Visually impaired; Visually impaired people; Handicapped persons","P. Costa; Polytechnic Institute of Leiria, Portugal; email: paulo.costa@ipleiria.pt","","","19759339","","","","English","Int. J. Digit. Content Technol. Appl.","Article","Final","","Scopus","2-s2.0-79958058723"
"Rajakaruna N.; Rathnayake C.; Chan K.Y.; Murray I.","Rajakaruna, Nimali (56245212100); Rathnayake, Chamila (56245309500); Chan, Kit Yan (55647800400); Murray, Iain (55605780042)","56245212100; 56245309500; 55647800400; 55605780042","Image deblurring for navigation systems of vision impaired people using sensor fusion data","2014","IEEE ISSNIP 2014 - 2014 IEEE 9th International Conference on Intelligent Sensors, Sensor Networks and Information Processing, Conference Proceedings","","","6827599","","","","3","10.1109/ISSNIP.2014.6827599","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84903715241&doi=10.1109%2fISSNIP.2014.6827599&partnerID=40&md5=44d8a08d5e3deb3a3592ef5cfd460e20","Department of Electrical and Computer Engineering, Curtin University, Perth, WA, Australia","Rajakaruna N., Department of Electrical and Computer Engineering, Curtin University, Perth, WA, Australia; Rathnayake C., Department of Electrical and Computer Engineering, Curtin University, Perth, WA, Australia; Chan K.Y., Department of Electrical and Computer Engineering, Curtin University, Perth, WA, Australia; Murray I., Department of Electrical and Computer Engineering, Curtin University, Perth, WA, Australia","Image deblurring is a key component in vision based indoor/outdoor navigation systems; as blurring is one of the main causes of poor image quality. When images with poor quality are used for analysis, navigation errors are likely to be generated. For navigation systems, camera movement mainly causes blurring, as the camera is continuously moving by the body movement. This paper proposes a deblurring methodology that takes advantage of the fact that most smartphones are equipped with 3-axis accelerometers and gyroscopes. It uses data of the accelerometer and gyroscope to derive a motion vector calculated from the motion of the smartphone during the image-capturing period. A heuristic method, namely particle swarm optimization, is developed to determine the optimal motion vector, in order to deblur the captured image by reversing the effect of motion. Experimental results indicated that deblurring can be successfully performed using the optimal motion vector and that the deblurred images can be used as a readily approach to object and path identification in vision based navigation systems, especially for blind and vision impaired indoor/outdoor navigation. Also, the performance of proposed method is compared with the commonly used deblurring methods. Better results in term of image quality can be achieved. This experiment aims to identify issues in image quality including low light conditions, low quality images due to movement of the capture device and static and moving obstacles in front of the user in both indoor and outdoor environments. From this information, image-processing techniques to will be identified to assist in object and path edge detection necessary to create a guidance system for those with low vision. © 2014 IEEE.","image deblurring; inertial sensors; particle swarm optimization; vision impaired navigation","Accelerometers; Air navigation; Cameras; Edge detection; Gyroscopes; Heuristic methods; Image quality; Indoor positioning systems; Intelligent control; Navigation systems; Object detection; Particle swarm optimization (PSO); Sensor data fusion; Sensor networks; Smart sensors; Smartphones; 3-axis accelerometer; Image deblurring; Image processing technique; Inertial sensor; Low light conditions; Path identifications; Vision impaired; Vision-based navigation system; Image enhancement","","","IEEE Computer Society","","978-147992843-9","","","English","IEEE ISSNIP - IEEE Int. Conf. Intelligent Sens., Sens. Networks Inf. Process., Conf. Proc.","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84903715241"
"Weiland J.D.; Parikh N.; Pradeep V.; Medioni G.","Weiland, James D. (7006322846); Parikh, Neha (58387649500); Pradeep, Vivek (57217189069); Medioni, Gerard (7006497957)","7006322846; 58387649500; 57217189069; 7006497957","Smart image processing system for retinal prosthesis","2012","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","","6345928","300","303","3","14","10.1109/EMBC.2012.6345928","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84881040672&doi=10.1109%2fEMBC.2012.6345928&partnerID=40&md5=984d524805f7f3f46fe99c5cf1edc47e","Doheny Eye Institute, University of Southern California, United States; Medtronic, Inc., United States; University of Southern California, United States","Weiland J.D., Doheny Eye Institute, University of Southern California, United States; Parikh N., Medtronic, Inc., United States; Pradeep V., Medtronic, Inc., United States; Medioni G., University of Southern California, United States","Retinal prostheses for the blind have demonstrated the ability to provide the sensation of light in otherwise blind individuals. However, visual task performance in these patients remains poor relative to someone with normal vision. Computer vision algorithms for navigation and object detection were evaluated for their ability to improve task performance. Blind subjects navigating a mobility course had fewer collisions when using a wearable camera system that guided them on a safe path. Subjects using a retinal prosthesis simulator could locate objects more quickly when an object detection algorithm assisted them. Computer vision algorithms can assist retinal prosthesis patients and low-vision patients in general. © 2012 IEEE.","","Algorithms; Blindness; Eye, Artificial; Female; Humans; Image Processing, Computer-Assisted; Male; Retina; Task Performance and Analysis; Visual Prosthesis; Algorithms; Computer vision; Object recognition; Ophthalmology; Blind individuals; Computer vision algorithms; Image processing system; Object Detection; Object detection algorithms; Retinal prosthesis; Task performance; Visual tasks; Wearable cameras; MLCS; MLOWN; algorithm; article; blindness; clinical trial; equipment; female; human; image processing; male; methodology; retina; task performance; visual prosthesis; Prosthetics","","","","1557170X","978-142444119-8","","23365889","English","Proc. Annu. Int. Conf. IEEE Eng. Med. Biol. Soc. EMBS","Conference paper","Final","","Scopus","2-s2.0-84881040672"
"Markus N.; Malik S.; Juhasz Z.; Arató A.","Markus, Norbert (24724972700); Malik, Szabolcs (55331627400); Juhasz, Zoltan (56941610900); Arató, András (36342332200)","24724972700; 55331627400; 56941610900; 36342332200","Accessibility for the blind on an open-source mobile platform: MObile Slate Talker (MOST) for Android","2012","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7383 LNCS","PART 2","","599","606","7","9","10.1007/978-3-642-31534-3_88","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84864825248&doi=10.1007%2f978-3-642-31534-3_88&partnerID=40&md5=0005109b0775386f507814733b19062f","Laboratory of Speech Technology for Rehabilitation, Institute for Particle and Nuclear Physics, Hungarian Academy of Sciences, Budapest, Hungary; Dept. of Electrical Engineering and Information Systems, University of Pannonia, Veszprem, Hungary","Markus N., Laboratory of Speech Technology for Rehabilitation, Institute for Particle and Nuclear Physics, Hungarian Academy of Sciences, Budapest, Hungary; Malik S., Laboratory of Speech Technology for Rehabilitation, Institute for Particle and Nuclear Physics, Hungarian Academy of Sciences, Budapest, Hungary; Juhasz Z., Dept. of Electrical Engineering and Information Systems, University of Pannonia, Veszprem, Hungary; Arató A., Laboratory of Speech Technology for Rehabilitation, Institute for Particle and Nuclear Physics, Hungarian Academy of Sciences, Budapest, Hungary","As Android handsets keep flooding the shops in a wide range of prices and capabilities, many of the blind community turn their attention to this emerging alternative, especially because of a plethora of cheaper models offered. Earlier, accessibility experts only recommended Android phones sporting an inbuilt QWERTY keyboard, as the touch-screen support had then been in an embryotic state. Since late 2011, with Android 4.X (ICS), this has changed. However, most handsets on the market today -especially the cheaper ones- ship with a pre-ICS Android version. This means that their visually impaired users won't be able to enjoy the latest accessibility innovations. Porting MObile SlateTalker to Android has been aimed at filling this accessibility gap with a low-cost solution, regarding the special needs of our target audience: the elderly, persons with minimal tech skills and active Braille users. © 2012 Springer-Verlag.","(e)Accessibility; (e)Aging and Gerontechnology; Android; Assistive Technology; Blind People; Braille; Mobility; Usability and Ergonomics","Carrier mobility; Ergonomics; Handicapped persons; Telephone sets; Touch screens; (e)Accessibility; Android; Assistive technology; Blind people; Braille; Gerontechnology; Robots","","","","16113349","978-364231533-6","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","","Scopus","2-s2.0-84864825248"
"De Sousa E Silva J.; Silva C.; Marcelino L.; Ferreira R.; Pereira A.","De Sousa E Silva, João (55481208600); Silva, Catarina (8770080300); Marcelino, Luís (6602919691); Ferreira, Rui (57199948941); Pereira, António (7402230199)","55481208600; 8770080300; 6602919691; 57199948941; 7402230199","Assistive mobile software for public transportation","2011","UBICOMM 2011 - 5th International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies; PECES 2011 - 3rd International Workshop on Pervasive Computing in Embedded Systems","","","","309","313","4","7","","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84881650729&partnerID=40&md5=c09403beafb20aaf9635cf9a845406a2","Computer Science Communication and Research Centre, School of Technology and Management, Polytechnic Institute of Leiria, 2411-901 Leiria, Morro do Lena, Alto do Vieiro, Portugal","De Sousa E Silva J., Computer Science Communication and Research Centre, School of Technology and Management, Polytechnic Institute of Leiria, 2411-901 Leiria, Morro do Lena, Alto do Vieiro, Portugal; Silva C., Computer Science Communication and Research Centre, School of Technology and Management, Polytechnic Institute of Leiria, 2411-901 Leiria, Morro do Lena, Alto do Vieiro, Portugal; Marcelino L., Computer Science Communication and Research Centre, School of Technology and Management, Polytechnic Institute of Leiria, 2411-901 Leiria, Morro do Lena, Alto do Vieiro, Portugal; Ferreira R., Computer Science Communication and Research Centre, School of Technology and Management, Polytechnic Institute of Leiria, 2411-901 Leiria, Morro do Lena, Alto do Vieiro, Portugal; Pereira A., Computer Science Communication and Research Centre, School of Technology and Management, Polytechnic Institute of Leiria, 2411-901 Leiria, Morro do Lena, Alto do Vieiro, Portugal","The need of mobility on public transport for persons with visual impairment is mandatory. While traveling on a public transport, the simple ability to know the current location is almost impossible for such persons. To overcome this hurdle, we developed an assistive application that can alert its user to the proximity of all public transportation stops, giving emphasis to the chosen final stop. The application is adjustable to any transportation system and is particularly relevant to use in public transports that do not have any audio system available. The developed prototype runs on an Android OS device equipped with Global Positioning System (GPS). To ensure the highest possible level of reliability and to make it predictable to users, the application's architecture is free of as much dependencies as possible. Therefore, only GPS, or other localization mechanism, is required. The interface was designed to be suitable not only for talkback (Android's inbuilt screen-reader) aimed at blind users, but also for people with low vision that can still use their sight to check the screen. Thus, it was meant to be graphically simple and unobtrusive. It was tested by visual impaired persons leading to the conclusion that it demonstrates an existing need, and opens a new perspective in public transportation's accessibility.","Accessibility; Android; Assistive software; Mobility; Public transportation","Bus transportation; Carrier mobility; Embedded systems; Mass transportation; Robots; Ubiquitous computing; Accessibility; Android; Assistive applications; Assistive softwares; Public transportation; Transportation system; Visual impaired persons; Visual impairment; Handicapped persons","","","","","978-161208171-7","","","English","UBICOMM - Int. Conf. Mob. Ubiquitous Comput., Syst., Serv. Technol.; PECES - Int. Workshop Pervasive Comput. Embedded Syst.","Conference paper","Final","","Scopus","2-s2.0-84881650729"
"Fernandes H.; Costa P.; Paredes H.; Filipe V.; Barroso J.","Fernandes, Hugo (35172835800); Costa, Paulo (7201895673); Paredes, Hugo (23398113700); Filipe, Vítor (6507061487); Barroso, João (20435746800)","35172835800; 7201895673; 23398113700; 6507061487; 20435746800","Integrating computer vision object recognition with location based services for the blind","2014","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8515 LNCS","PART 3","","493","500","7","13","10.1007/978-3-319-07446-7_48","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-84903473236&doi=10.1007%2f978-3-319-07446-7_48&partnerID=40&md5=61f95ad398bae3d11dfad1700ce77ea3","INESC-TEC, UTAD - University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; School of Technology and Management, Polytechnic Institute of Leiria, Leiria, Portugal","Fernandes H., INESC-TEC, UTAD - University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Costa P., School of Technology and Management, Polytechnic Institute of Leiria, Leiria, Portugal; Paredes H., INESC-TEC, UTAD - University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Filipe V., INESC-TEC, UTAD - University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Barroso J., INESC-TEC, UTAD - University of Trás-os-Montes e Alto Douro, Vila Real, Portugal","The task of moving from one place to another is a difficult challenge that involves obstacle avoidance, staying on street walks, finding doors, knowing the current location and keeping on track through the desired path. Nowadays, navigation systems are widely used to find the correct path, or the quickest, between two places. While assistive technology has contributed to the improvement of the quality of life of people with disabilities, people with visual impairment still face enormous limitations in terms of their mobility. In recent years, several approaches have been made to create systems that allow seamless tracking and navigation both in indoor and outdoor environments. However there is still an enormous lack of availability of information that can be used to assist the navigation of users with visual impairments as well as a lack of sufficient precision in terms of the estimation of the user's location. Blavigator is a navigation system designed to help users with visual impairments. In a known location, the use of object recognition algorithms can provide contextual feedback to the user and even serve as a validator to the positioning module and geographic information system of a navigation system for the visually impaired. This paper proposes a method where the use of computer vision algorithms validate the outputs of the positioning system of the Blavigator prototype. © 2014 Springer International Publishing.","blind; computer vision; location-based; navigation; object recognition; services","Computer vision; Geographic information systems; Human computer interaction; Navigation; Navigation systems; Object recognition; Vision aids; Assistive technology; blind; Computer vision algorithms; Location based; Object recognition algorithm; Outdoor environment; People with disabilities; services; Location based services","","","Springer Verlag","03029743","978-331907445-0","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84903473236"
